model,stratum,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted,skill_vs_no_info
c2_bivariate,low,380,33003.0,32781.0,0.061758664127155666,0.05104423255256524,0.03476519693444097,0.1139616446795439,0.13888378356912778,0.12161813569366697
c2_bivariate,medium,280,37072.0,36877.0,0.050619000883100104,0.04271879195804831,0.02715489024187496,0.2508706153879467,0.1926377527681173,0.09929292837798254
c2_bivariate,high,489,111752.0,111114.0,0.04104868446300824,0.033382869207523966,0.023886785878743964,0.4850362371640803,0.5088911233771176,0.5182233465926359
c2_bivariate,all,1149,181827.0,180772.0,0.047434740917984,0.03911196566129376,0.0268385690390908,0.32831371902275586,0.4102793594008359,0.3706250358603814
c2_book_rho_reference,low,380,33003.0,32781.0,0.061981234549551074,0.05104423255256524,0.03515906368784731,0.10294813813562315,0.12595119233042476,0.10160241745776788
c2_book_rho_reference,medium,280,37072.0,36877.0,0.05017130300466315,0.04271879195804831,0.026310919003917528,0.2683056093023178,0.20157584316803823,0.15441065037284551
c2_book_rho_reference,high,489,111752.0,111114.0,0.04100030858044055,0.033382869207523966,0.02380355744767355,0.49187090907971365,0.5066432320693934,0.5215747945066544
c2_book_rho_reference,all,1149,181827.0,180772.0,0.047364586560613695,0.03911196566129376,0.02671438193497363,0.331935278989584,0.4095977066296318,0.3764360329364407
c1_raw,low,380,33003.0,32781.0,0.10542046491477165,0.05104423255256524,0.09223860767577881,0.11379883168660469,0.041589889211782104,-5.183287644157346
c1_raw,medium,280,37072.0,36877.0,0.0638019182869957,0.04271879195804831,0.047389762509907805,0.15438858213987874,0.12230642630504315,-1.7431940715914886
c1_raw,high,489,111752.0,111114.0,0.04312209804820664,0.033382869207523966,0.027296508633019256,0.444641292099662,0.4899349747809177,0.3708640221470758
c1_raw,all,1149,181827.0,180772.0,0.06315608379630264,0.03911196566129376,0.04958775113468424,0.27623402874068514,0.3492700100976697,-1.1485208652630843
c1_bucketed,low,380,33003.0,32781.0,0.0659836639405918,0.05104423255256524,0.04181303899676025,0.015696489597571698,-0.05941913022740791,-0.27062512777638625
c1_bucketed,medium,280,37072.0,36877.0,0.05851910485262597,0.04271879195804831,0.039994880252322534,0.15208115411854056,0.14313721345789282,-0.9538727259287862
c1_bucketed,high,489,111752.0,111114.0,0.04314852422556171,0.033382869207523966,0.027338236708266937,0.4424224200391211,0.4895888863925277,0.3689390360668733
c1_bucketed,all,1149,181827.0,180772.0,0.05130775015653583,0.03911196566129376,0.03320751975434601,0.2581327643964411,0.3603625223461905,0.03647357655895933
no_info_league_average,low,380,33003.0,32781.0,0.06309892525966722,0.05104423255256524,0.03709394414247033,0.0023641254918442666,-0.07302327735660946,0.0
no_info_league_average,medium,280,37072.0,36877.0,0.05141567928356511,0.04271879195804831,0.02861253029418078,0.04659313211986521,0.05080009972015069,0.0
no_info_league_average,high,489,111752.0,111114.0,0.04794515246583336,0.033382869207523966,0.03441397519097954,0.11486235973226791,0.10707293028650613,0.0
no_info_league_average,all,1149,181827.0,180772.0,0.05171294427153656,0.03911196566129376,0.03383020466004934,0.012907374322424153,0.015071635492151675,0.0
c3_gbm_outcome,low,380,33003.0,32781.0,0.05942877710658962,0.05104423255256524,0.030434616335750807,0.11072574012031952,0.08462171505371632,0.32682243260314525
c3_gbm_outcome,medium,280,37072.0,36877.0,0.050209361282221344,0.04271879195804831,0.026383418542971545,0.21128518711569277,0.18113572564284722,0.14974419987162968
c3_gbm_outcome,high,489,111752.0,111114.0,0.04096350739961049,0.033382869207523966,0.023740113351694243,0.4810986644844326,0.49545680234604994,0.524121708274115
c3_gbm_outcome,all,1149,181827.0,180772.0,0.04675610676022231,0.03911196566129376,0.025620063651034985,0.3444598035626816,0.40410204365794444,0.4264765781675749
c3_gbm_full,low,380,33003.0,32781.0,0.05867962487235527,0.05104423255256524,0.02894451067611914,0.12875257984119964,0.16650078485938694,0.39112744780884123
c3_gbm_full,medium,280,37072.0,36877.0,0.049488485344163766,0.04271879195804831,0.02498429497313259,0.25735940255053485,0.2615319790480802,0.2375319212565159
c3_gbm_full,high,489,111752.0,111114.0,0.040806922984289215,0.033382869207523966,0.023468894454555366,0.49785419749716253,0.5238435916195114,0.5349329390040355
c3_gbm_full,all,1149,181827.0,180772.0,0.04634174207058626,0.03911196566129376,0.024855808179307343,0.37043724629850255,0.4417489797933145,0.4601830375495042
phase_d_retrained_leaguesplit,low,380,33003.0,32781.0,0.06048736745966659,0.05104423255256524,0.0324531654129512,0.1679270956779159,0.2681035013165874,0.23456538300139873
phase_d_retrained_leaguesplit,medium,280,37072.0,36877.0,0.05237492696575743,0.04271879195804831,0.03030243865291062,0.32254410748975065,0.3326829032893027,-0.12161195670005331
phase_d_retrained_leaguesplit,high,489,111752.0,111114.0,0.046188951316031325,0.033382869207523966,0.03192183057326224,0.47736598612088915,0.4945045578118533,0.1395891191643266
phase_d_retrained_leaguesplit,all,1149,181827.0,180772.0,0.050342783781959236,0.03911196566129376,0.03169621461668374,0.3895524666967367,0.46376899745623135,0.12217984643180146
