arm,rmse_decisive,rmse_low,rank_decisive,rank_low,rmse_difference,ci_low,ci_high,resolved,beats_baseline,wins_low_loses_decisive
block,0.04715094029869868,0.05917324571851967,0.4529374141302658,0.24023272000005932,-0.0007796730627429443,-0.0010661784081479914,-0.0004820226737649692,True,True,False
bilinear,0.0473058907103092,0.05838864581861325,0.4576245831606558,0.25588745494529036,-0.0006247226511324269,-0.0010484977309697372,-0.00015569728512865208,True,True,False
meanweight,0.047489500199877445,0.059554305678534904,0.4565312976831276,0.2255724479785602,-0.0004411131615641786,-0.000765658809734027,-0.00010635876491334947,True,True,False
dim64,0.04764697358403229,0.059280728087438624,0.4633808468989815,0.2503139128876924,-0.00028363977740933355,-0.00048122290568729557,-8.232983732725298e-05,True,True,False
dim16,0.04790163885090004,0.05925287739265443,0.45148693342196755,0.252945316926486,-2.8974510541582288e-05,-0.00039459596680009124,0.00034088813683510756,False,False,False
baseline,0.047930613361441624,0.05923029855668104,0.45910288820904444,0.2592411358329265,,,,,,
invfreq,0.06066851287304733,0.07105831567557809,0.3939530811941649,0.23322446125539784,0.012737899511605706,0.009495780875016143,0.01578070449173864,True,False,False
