group,perm,perm_std,perm_norm,shap
plate_x,0.34551903009414675,0.0010916464783658152,0.7718810331840352,0.9442951083183289
plate_z,0.30555773973464967,0.0016830092708597709,0.6826084912877144,0.8695356845855713
count,0.1375536561012268,0.0007725006141232487,0.30729149176161413,1.092360019683838
pfx_x,0.060709035396575926,0.00037669185320121656,0.1356224950988858,0.19559797644615173
pfx_z,0.039051592350006104,0.0005418315133768449,0.08724029886976438,0.15864776074886322
stand,0.0086764395236969,0.0002452943766300788,0.01938295295076835,0.08101998269557953
pitch_type,0.006761521100997925,0.00020354563892306806,0.015105072192150574,0.15503555536270142
p_throws,0.004833418130874634,0.00015989357033339844,0.01079773747817418,0.056966062635183334
release_speed,0.0017804980278015136,2.925925534301923e-05,0.003977588895485995,0.03767436370253563
effective_speed,0.0010709404945373536,5.5945496832533455e-05,0.002392454780788405,0.022964704781770706
release_pos_x,0.0009702503681182862,3.770453110331939e-05,0.002167515509598035,0.02232915535569191
release_pos_z,0.0006618916988372803,2.2947661288021726e-05,0.0014786498104467534,0.019396454095840454
spin_axis,0.0005564332008361816,5.039945239832717e-05,0.001243058114171893,0.03749924525618553
release_spin_rate,0.00020374059677124022,3.102523161232326e-05,0.00045515149279756246,0.01805761642754078
release_pos_y,0.00019003152847290038,2.5080587735560426e-05,0.00042452577067965267,0.029779456555843353
release_extension,0.00013227462768554686,1.3915464838915957e-05,0.000295498271843763,0.006297093816101551
