treatment,n_bbip,n_hitters,vc_n50,vc_n50_lo,vc_n50_hi,splithalf_random_50
unclipped,994834,1681,77.42781026245115,68.64153895453764,86.95647982061085,78.09808488313206
clipped_90,994834,1681,77.42781026245115,68.64153895453764,86.95647982061085,78.09808488313206
dropped_gt90,994834,1681,77.42781026245115,68.64153895453764,86.95647982061085,78.09808488313206
