metric,unit,vc_n50_native,obs_per_pa,vc_n50_pa_equiv,kind
whiff rate,swings,54.3164733788215,1.8274561507643068,29.722449622719772,process
swing rate,pitches,122.92382969508462,3.8960391607315645,31.550973854175286,process
exit velocity,BBIP,45.15668186698734,0.6764119729121915,66.75914039867145,process
launch angle,BBIP,46.3630995320999,0.6764119729121915,68.54269496811307,process
spray angle,BBIP,77.42781026245115,0.6764119729121915,114.46842067135091,process
wOBA vs LHP,PA,226.03631271852322,1.0,226.03631271852322,outcome
wOBA vs RHP,PA,254.135618544423,1.0,254.135618544423,outcome
