hand,pa_floor,n_hitters,signal_var,noise_var,vc_n50
L,0,2142,0.0013670890458467584,0.2600457277162292,190.21857318384116
L,400,373,0.0007319598725379658,0.2719732878579949,371.56857645073705
L,800,139,0.0007307929013283522,0.281262079880416,384.87248489848463
R,0,2421,0.001324398448726492,0.2625839454938919,198.26657585289834
R,400,707,0.0007454015336909449,0.26888246923301873,360.721647434256
R,800,474,0.0006808621088795938,0.27176613378923004,399.1500338246759
