group,perm,perm_std,perm_norm,shap
plate_x,1.7716777801513672,0.01664427986151856,0.06609539126537245,3.124027967453003
stand,1.6968795776367187,0.011136235254201975,0.06330491970415557,2.712160110473633
plate_z,0.6225452423095703,0.01047813723255118,0.023225087446393122,2.8241987228393555
release_speed,0.29858932495117185,0.007955069416453705,0.011139372227507986,2.524765968322754
pitch_type,0.22938461303710939,0.009202676964482223,0.00855757515209592,2.3438475131988525
effective_speed,0.21785354614257812,0.003403650889288631,0.008127389490436773,1.112663984298706
pfx_z,0.14327316284179686,0.004642892880867352,0.00534504403788759,0.9891775846481323
count,0.10299873352050781,0.003448973469380603,0.003842539353456339,2.561767578125
pfx_x,0.062378311157226564,0.0025365144984416106,0.0023271268221571233,0.5181418061256409
release_pos_x,0.044353485107421875,0.0026247237918247796,0.0016546806563818024,0.34063494205474854
spin_axis,0.03681793212890625,0.002036381515915829,0.001373554298024822,0.3515501916408539
release_pos_z,0.036346054077148436,0.0019016900621110857,0.001355950101138744,0.49279576539993286
release_spin_rate,0.018600082397460936,0.0008221769149117744,0.0006939070622217279,0.2546267509460449
release_extension,0.01707000732421875,0.001100804645881604,0.0006368250624561186,0.3719467222690582
p_throws,0.012591552734375,0.0011444610583944217,0.00046974885272082687,0.15312564373016357
release_pos_y,0.009710693359375,0.0023184415071387946,0.0003622735941244961,0.2963732182979584
