group,perm,perm_std,perm_norm,shap
pfx_z,2.7572322845458985,0.01472604332648735,0.10472103296547268,4.8392333984375
plate_z,1.2822277069091796,0.01847362793911622,0.04869963648586583,4.71576452255249
plate_x,0.9206592559814453,0.0077817887487807765,0.034967089583269946,2.392861843109131
stand,0.7984661102294922,0.016276941431527175,0.030326134043844818,1.6107419729232788
release_speed,0.7149887084960938,0.0029200248018355435,0.027155621429513176,2.5125086307525635
pfx_x,0.44954071044921873,0.004843164556880325,0.017073776417799297,1.1948884725570679
pitch_type,0.28276405334472654,0.008343622626106363,0.010739517275252207,2.6628894805908203
effective_speed,0.2125926971435547,0.0036575940030956567,0.008074374789012571,1.396253228187561
count,0.14038047790527344,0.005364771177747606,0.005331719324782275,2.364715337753296
release_pos_z,0.09184150695800782,0.003076183464770207,0.003488185428429442,0.8993882536888123
spin_axis,0.08726081848144532,0.003145330530003971,0.003314208635959937,0.6443122029304504
release_pos_x,0.074346923828125,0.0023353134245796014,0.002823732590367817,0.6659969687461853
release_spin_rate,0.04999885559082031,0.0019467654104658786,0.0018989810303285826,1.0138388872146606
p_throws,0.017707443237304686,0.0013992111970094864,0.0006725373692240154,0.19616694748401642
release_pos_y,0.0091796875,0.0022350784286335277,0.00034864902847986184,0.2055109143257141
release_extension,0.0027866363525390625,0.0003531284853512161,0.00010583781387322933,0.12513971328735352
