treatment,n_bbip,n_gt90,n_hitters,vc_n50,vc_n50_lo,vc_n50_hi,splithalf_random_50
unclipped,1004409,9575,1681,88.38095609752786,78.60943549159427,98.85391560796012,84.53883366614318
clipped_90,1004409,9575,1681,81.690828205728,72.44295364944406,91.59790502667934,77.82036028376675
dropped_gt90,994834,0,1681,77.42781026245115,68.64153895453764,86.95647982061085,78.09808488313206
