group,perm,perm_std,perm_norm,shap
plate_z,0.13958131670951843,0.0008895934726931648,0.31972791697673575,0.6595110893249512
plate_x,0.037113016843795775,0.0003169562638918434,0.08501186152931707,0.25206005573272705
count,0.018324238061904908,0.00021895266350721856,0.041973887364247425,0.28119492530822754
pitch_type,0.017719566822052002,0.00032291277435233384,0.040588814630077366,0.3545258045196533
stand,0.008853912353515625,0.00021529708088721108,0.020280958946499863,0.07734359800815582
pfx_z,0.008302778005599976,0.00013437010874108051,0.019018518949604594,0.09378891438245773
release_speed,0.005531638860702515,0.00019619082372996242,0.012670888999282322,0.06470467150211334
pfx_x,0.003545892238616943,3.859745059985068e-05,0.008122295777137186,0.04019688442349434
release_pos_x,0.0034233808517456056,0.00014246997471297325,0.007841668602571834,0.04248451814055443
release_pos_z,0.003278827667236328,0.00010995033673756859,0.007510552020030287,0.044031087309122086
spin_axis,0.0023628294467926024,0.00011783468126562633,0.005412347117820064,0.032242316752672195
effective_speed,0.001443237066268921,6.319438930278848e-05,0.0033059093564942,0.04468180239200592
release_spin_rate,0.0006676077842712403,7.192962584216349e-05,0.0015292365142729857,0.05708208680152893
p_throws,0.00038856863975524905,1.3772547989874086e-05,0.0008900635466133083,0.009829699993133545
release_pos_y,0.00017562508583068848,8.828954983344838e-06,0.00040229053705206436,0.017417466267943382
release_extension,0.00010727047920227051,1.2061167401341932e-05,0.0002457160290285424,0.007746105547994375
