model,stratum,n_hitters,pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,skill_vs_no_info
c2_bivariate,low,295,31597.0,0.05779319242406256,0.046480054842993314,0.03434614377709754,0.169414433382021,0.1178831574003184
c2_bivariate,medium,250,36553.0,0.04847051472199843,0.040888158685040636,0.02602977673285737,0.26175553434561694,0.06010837034922922
c2_bivariate,high,470,111415.0,0.040523235878720074,0.03301612016501768,0.0234961370299779,0.4980565778930643,0.5321294614370269
c2_bivariate,all,1015,179565.0,0.04566046612932358,0.03737423086436659,0.026230612544203655,0.37079000759106306,0.382473115367029
c2_book_rho_reference,low,295,31597.0,0.058055424283506164,0.046480054842993314,0.034785583084522974,0.14954775630647404,0.09516639403875371
c2_book_rho_reference,medium,250,36553.0,0.04800286940766636,0.040888158685040636,0.025148239515250505,0.28323684217095363,0.12269203588307431
c2_book_rho_reference,high,470,111415.0,0.040478577042874414,0.03301612016501768,0.02341903090789694,0.5021651658845148,0.5351951984914041
c2_book_rho_reference,all,1015,179565.0,0.0455938091123322,0.03737423086436659,0.026114407836840076,0.3733430296637284,0.38793242968570163
c1_raw,low,295,31597.0,0.10435465989289802,0.046480054842993314,0.09343179085918643,0.1024805423093969,-5.5276895807510575
c1_raw,medium,250,36553.0,0.062482545309361,0.040888158685040636,0.04724644904840243,0.15864103271560465,-2.096529648195813
c1_raw,high,470,111415.0,0.04254530270178946,0.03301612016501768,0.026833534825587296,0.46854645133382905,0.3897770462805621
c1_raw,all,1015,179565.0,0.06191992379404468,0.03737423086436659,0.04936844974229319,0.29686786069474513,-1.187449242505482
c1_bucketed,low,295,31597.0,0.06240184000545199,0.046480054842993314,0.041636452032544305,0.02240802654183279,-0.2963359852424632
c1_bucketed,medium,250,36553.0,0.056776907864618,0.040888158685040636,0.039392584911557366,0.1703789507759741,-1.1526124885604965
c1_bucketed,high,470,111415.0,0.042573896903269536,0.03301612016501768,0.026878848687756998,0.46654480487038796,0.3877143358230505
c1_bucketed,all,1015,179565.0,0.04965927111773539,0.03737423086436659,0.03269877788605831,0.2966249375740486,0.040373909077533465
no_info_league_average,low,295,31597.0,0.05914134427753057,0.046480054842993314,0.03656915510024441,0.0016723249812845766,0.0
no_info_league_average,medium,250,36553.0,0.04891545494161606,0.040888158685040636,0.026849212492961634,0.11018630630040105,0.0
no_info_league_average,high,470,111415.0,0.047644769398883534,0.03301612016501768,0.03435054381406358,0.1327239632688755,0.0
no_info_league_average,all,1015,179565.0,0.05011015459776856,0.03737423086436659,0.03337955154146463,0.046631902512891246,0.0
c3_gbm_outcome,low,295,31597.0,0.056039594146505625,0.046480054842993314,0.031305600359957976,0.09613793267610701,0.26715147043366716
c3_gbm_outcome,medium,250,36553.0,0.04810180463752304,0.040888158685040636,0.025336576105175874,0.21303781750834502,0.10950241316159559
c3_gbm_outcome,high,470,111415.0,0.04047753267689231,0.03301612016501768,0.023417225729321513,0.49156749454482623,0.5352668516127328
c3_gbm_outcome,all,1015,179565.0,0.045168655145614696,0.03737423086436659,0.025364823574401087,0.3634410078407727,0.42256554181758477
c3_gbm_full,low,295,31597.0,0.05514542292835074,0.046480054842993314,0.029675278797999617,0.10168733205293658,0.3414939600350043
c3_gbm_full,medium,250,36553.0,0.04740826201843893,0.040888158685040636,0.023993786423903492,0.25914045200220354,0.20139049764702965
c3_gbm_full,high,470,111415.0,0.040279106865479156,0.03301612016501768,0.023072543404007342,0.5122925630881852,0.5488471455422425
c3_gbm_full,all,1015,179565.0,0.04471338291644906,0.03737423086436659,0.024544927767871445,0.3884898734301589,0.45929234064740987
