stratum,n_hitters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,295,0.054773965011147493,0.05527771330064782,-0.0005037482895003248,-0.002293018931121802,0.001317611455468961,0.717
medium,250,0.04611711729240318,0.04774138167621105,-0.0016242643838078746,-0.0032799886764322468,0.00019477946556256703,0.961
high,470,0.03935623624541944,0.03961891791031103,-0.0002626816648915939,-0.001060401396958124,0.0004985187030853578,0.739
all,1015,0.043839709974757106,0.04444750592123318,-0.0006077959464760724,-0.0013064428928446924,8.25138753226302e-05,0.9585
