stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,380,239,0.061758664127155666,0.10542046491477165,-0.04366180078761599,-0.06373718048239828,-0.024967016956507864,1.0
medium,280,238,0.050619000883100104,0.0638019182869957,-0.0131829174038956,-0.017416891964536725,-0.009135382501651716,1.0
high,489,318,0.04104868446300824,0.04312209804820664,-0.0020734135851984,-0.0029088143529104283,-0.0012204222781761567,1.0
all,1149,604,0.047434740917984,0.06315608379630264,-0.01572134287831864,-0.022539569783899583,-0.009890188389428936,1.0
