stratum,n_hitters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,295,0.05514542292835074,0.05779319242406256,-0.00264776949571182,-0.00483577241434973,-0.0005081588506011942,0.9915
medium,250,0.04740826201843893,0.04847051472199843,-0.001062252703559502,-0.002750693547904787,0.0007130067918365259,0.8775
high,470,0.040279106865479156,0.040523235878720074,-0.00024412901324091796,-0.0010282607555384105,0.0005399235767782918,0.722
all,1015,0.04471338291644906,0.04566046612932358,-0.0009470832128745249,-0.001715513327463062,-0.00019277939882370094,0.9955
