stratum,n_hitters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,295,0.05514542292835074,0.056039594146505625,-0.0008941712181548822,-0.002264826994125776,0.0004794991166563536,0.906
medium,250,0.04740826201843893,0.04810180463752304,-0.0006935426190841087,-0.0018178474000413686,0.000426286427750536,0.8865
high,470,0.040279106865479156,0.04047753267689231,-0.00019842581141315402,-0.000981266025569831,0.0006051397941347055,0.6815
all,1015,0.04471338291644906,0.045168655145614696,-0.0004552722291656375,-0.0010407435716975662,0.0001523329435091308,0.933
