stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,380,239,0.061758664127155666,0.061981234549551074,-0.00022257042239540864,-0.0005040714631159446,4.706113343311412e-05,0.942
medium,280,238,0.050619000883100104,0.05017130300466315,0.000447697878436952,-2.484334692970172e-05,0.0009602647088639494,0.0355
high,489,318,0.04104868446300824,0.04100030858044055,4.837588256768888e-05,-0.00022835080427636832,0.00032674097127398204,0.363
all,1149,604,0.047434740917984,0.047364586560613695,7.015435737030284e-05,-0.0001100636243493101,0.0002520100750212981,0.228
