stratum,n_seeds,mean_difference,min_difference,max_difference,n_null_fits_beating_real
all,5,0.0047975174944356515,0.00471280688078949,0.0048724546400714525,0
high,5,0.007035643169336389,0.006839887454644922,0.00716687092199772,0
low,5,0.002422775194120681,0.002200644076883855,0.002591695597788532,0
medium,5,0.0013146967119972417,0.0012678749285068222,0.001375480538948995,0
