stratum,n_hitters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,295,0.05779319242406256,0.06240184000545199,-0.00460864758138943,-0.007079967606557501,-0.0023189739267583513,1.0
medium,250,0.04847051472199843,0.056776907864618,-0.008306393142619564,-0.011611003426322156,-0.00525880358521833,1.0
high,470,0.040523235878720074,0.042573896903269536,-0.002050661024549462,-0.002993959601796397,-0.001119251757246454,1.0
all,1015,0.04566046612932358,0.04965927111773539,-0.003998804988411805,-0.005115001169284779,-0.002973165475423859,1.0
