head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
spray,handedness,RvR,bin_18,46616,0.03747640295177621,0.03772773417889892,0.00025133122712271,0.006706386081025901
spray,handedness,RvR,bin_19,46616,0.039685944740003434,0.037450646216930956,-0.002235298523072478,-0.05632468970353872
spray,handedness,RvR,bin_20,46616,0.040436759910760255,0.037777898327852784,-0.0026588615829074708,-0.06575357641846931
spray,handedness,RvR,bin_21,46616,0.0404796636348035,0.03834225963944538,-0.0021374039953581184,-0.052801920851941735
spray,handedness,RvR,bin_22,46616,0.039707396602025054,0.036662241290212456,-0.0030451553118125974,-0.07668987575119181
spray,handedness,RvR,bin_23,46616,0.03640380985069504,0.035373059615431135,-0.0010307502352639025,-0.028314350599329453
spray,handedness,LvL,expected_bin_index,9054,11.729953611663353,11.494102462688947,-0.2358511489744064,-0.020106741832286053
spray,handedness,LvR,expected_bin_index,41973,12.187477664212707,11.909397392508037,-0.2780802717046704,-0.02281688462258478
spray,handedness,RvL,expected_bin_index,23510,11.465078689919183,11.106722289712188,-0.3583564002069952,-0.03125634022225113
spray,handedness,RvR,expected_bin_index,46616,11.263686287969795,11.0499246276683,-0.21376166030149513,-0.018977948678294044
spray,two_strike,0,bin_0,74606,0.050786799989277,0.05084836200802515,6.156201874814998e-05,0.001212165735213639
spray,two_strike,0,bin_1,74606,0.03885746454708736,0.04207382818669406,0.003216363639606694,0.08277337899154778
spray,two_strike,0,bin_2,74606,0.03808004718119186,0.03952975762380024,0.0014497104426083804,0.03807008000043676
spray,two_strike,0,bin_3,74606,0.03750368603061416,0.03916234281545795,0.0016586567848437886,0.04422650038958388
spray,two_strike,0,bin_4,74606,0.037919202208937616,0.03962401681883809,0.0017048146099004763,0.04495913707537467
spray,two_strike,0,bin_5,74606,0.03991636061442779,0.041487717913754475,0.0015713572993266839,0.03936624670032458
spray,two_strike,0,bin_6,74606,0.03967509315604643,0.0418813485450986,0.0022062553890521697,0.055608070795819656
spray,two_strike,0,bin_7,74606,0.041390772860091685,0.04235248070508257,0.000961707844990882,0.023234836620268696
spray,two_strike,0,bin_8,74606,0.03951424818379219,0.04220409993840949,0.0026898517546172993,0.06807295793927348
spray,two_strike,0,bin_9,74606,0.03834812213494893,0.040433513261760985,0.002085391126812053,0.05438052792972388
spray,two_strike,0,bin_10,74606,0.038616197088706,0.04022845805116421,0.0016122609624582146,0.041750899467253584
spray,two_strike,0,bin_11,74606,0.04338793126558186,0.04236702976195831,-0.0010209015036235503,-0.023529619270725544
spray,two_strike,0,bin_12,74606,0.04283837761037986,0.04286238224446975,2.4004634089885846e-05,0.0005603534827628359
spray,two_strike,0,bin_13,74606,0.041363965364715975,0.04195856138243802,0.0005945960177220419,0.014374734445291852
spray,two_strike,0,bin_14,74606,0.04001018684824277,0.040790849090539635,0.0007806622422968645,0.01951158701802341
spray,two_strike,0,bin_15,74606,0.04062675924188403,0.04038153025151719,-0.0002452289903668442,-0.006036144525011144
spray,two_strike,0,bin_16,74606,0.039058520762405166,0.039496695434439996,0.00043817467203483007,0.011218414406942531
spray,two_strike,0,bin_17,74606,0.03999678310055491,0.04034811992570352,0.00035133682514860987,0.008784127070052678
spray,two_strike,0,bin_18,74606,0.04234243894592928,0.04090977938211448,-0.0014326595638148032,-0.03383507420638405
spray,two_strike,0,bin_19,74606,0.044071522397662384,0.040276729560325734,-0.0037947928373366496,-0.0861053267707841
spray,two_strike,0,bin_20,74606,0.044218963622228775,0.04012344379971781,-0.004095519822510968,-0.09261908210920075
spray,two_strike,0,bin_21,74606,0.04403131115459882,0.041269990985127646,-0.002761320169471178,-0.06271264918221209
spray,two_strike,0,bin_22,74606,0.046390370747661044,0.04241113696317736,-0.003979233784483685,-0.08577714987725797
spray,two_strike,0,bin_23,74606,0.051054874943034075,0.04697782549824865,-0.004077049444785423,-0.07985622233595728
spray,two_strike,1,bin_0,46547,0.05106666380217844,0.05105859884759891,-8.064954579528605e-06,-0.00015792992882344048
spray,two_strike,1,bin_1,46547,0.04191462392850238,0.04410551193495382,0.0021908880064514455,0.05227025322208889
spray,two_strike,1,bin_2,46547,0.03937955185081745,0.0414564298196756,0.0020768779688581512,0.05274001026537936
spray,two_strike,1,bin_3,46547,0.041055277461490534,0.041973590069144286,0.0009183126076537512,0.022367711642312486
spray,two_strike,1,bin_4,46547,0.04069005521301051,0.04166859174636102,0.0009785365333505117,0.024048542776064552
spray,two_strike,1,bin_5,46547,0.04129159773991879,0.04292984007082912,0.001638242330910325,0.03967495617943959
spray,two_strike,1,bin_6,46547,0.041162695769867017,0.042586336753135036,0.0014236409832680194,0.03458570816710673
spray,two_strike,1,bin_7,46547,0.04247319913206007,0.04300711511166978,0.0005339159796097157,0.012570656096557125
spray,two_strike,1,bin_8,46547,0.041055277461490534,0.042085961783740314,0.0010306843222497794,0.0251047949491159
spray,two_strike,1,bin_9,46547,0.03832685242872795,0.04044913199371565,0.0021222795649877,0.05537317651988929
spray,two_strike,1,bin_10,46547,0.03897136227898683,0.04023285677328516,0.0012614944942983333,0.03236978182254935
spray,two_strike,1,bin_11,46547,0.04210797688358004,0.04137455186662675,-0.0007334250169532888,-0.017417721563328947
spray,two_strike,1,bin_12,46547,0.040002578039401035,0.04189054765967191,0.0018879696202708726,0.04719619866527836
spray,two_strike,1,bin_13,46547,0.04157088534169764,0.04156338384053856,-7.501501159079549e-06,-0.00018045083950990996
