stand,n_hitters,tau2_split_true,tau_split_true,mean_sampling_var_weighted,mean_sampling_var_unweighted,mean_sampling_var_league_weighted,median_denom_L,median_denom_R,reliability_variance_ratio,reliability_variance_ratio_unweighted,reliability_mean_per_hitter,ceiling_rank_corr,ceiling_rank_corr_unweighted
L,221,0.0007322758887773,0.027060596607933463,0.003922478896463031,0.007035063800588563,0.003934630024700847,67.0,288.0,0.15731782286346405,0.09427627966108486,0.14872638321042886,0.3966331086324792,0.30704442620097316
R,324,0.0004917731167240001,0.022175958079054894,0.0041868010431916,0.008360123939736544,0.004260910265874671,94.0,182.0,0.1051117498440746,0.05555567508154427,0.10245094687268191,0.3242094228181448,0.23570251394829092
pooled,545,0.0005903354341683785,0.024296819424944875,0.004078477121970155,0.007822805975054518,0.004127194814564713,86.0,223.0,0.12644230777528392,0.07005359053772359,0.12121584858028207,0.355587271672207,0.2646763883268086
