stratum,n_hitters,n_boot,rmse_difference,rmse_ci_low,rmse_ci_high,rmse_favours_model,rank_difference,rank_ci_low,rank_ci_high,rank_favours_model,rank_se
low,207,2000,-0.0008928669169236958,-0.001800920576540224,6.622525123545849e-05,False,0.02702330243719847,-0.05524990125875285,0.10177422448373764,False,0.04022835929668773
medium,167,2000,-0.0012104546986145964,-0.0026846393068188116,0.00021212730616774236,False,-0.01391361126063223,-0.10388272498281204,0.06743453987600694,False,0.04382501389689607
high,171,2000,-0.0018954567318632057,-0.0043276452345506755,0.000369008395062433,False,0.012018397935562253,-0.08704848502899687,0.12268382808105852,False,0.053635111141992264
all,545,2000,-0.0013570841060534383,-0.00240418165213324,-0.000363828538867644,True,0.01252672863866544,-0.043221885344519914,0.06557451486513921,False,0.027306472042436875
