stratum,n_hitters,pa,mean_pred,mean_obs,intercept,slope,slope_se,slope_z_vs_one
low,380,32781.0,0.2814720509852958,0.2924853421189103,0.08258660605805786,0.745717861955031,0.162354336382494,-1.5662171008842067
medium,280,36877.0,0.3089353144397861,0.30234688288092854,0.06399635610829997,0.771522437325904,0.12423577653142476,-1.8390641492573911
high,489,111114.0,0.33102168528166487,0.3186091401623558,-0.01990066268064116,1.0226212296483248,0.09216306856525121,0.24544787842333
all,1149,180772.0,0.3175308478765068,0.3105544221450225,0.06172511299585843,0.7836382222804956,0.05714798814348945,-3.7859911564385187
