stratum,n_batters,rank_difference,se_rank,z,batters_multiplier,batters_needed
low,239,0.09274035097353958,0.06472128073826787,1.4329189706331757,3.822648888615355,914
medium,238,0.07734550899684473,0.05141442551574615,1.5043542395150742,3.4682264501692384,825
high,318,-0.034755654434154515,0.02837086851798123,-1.2250472491572353,5.230003695239781,1663
all,604,0.017353908415729924,0.02104313841194494,0.824682520069304,11.540751662411607,6971
