opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
gbm_full,low,380,239,0.06001856265345408,0.05867962487235527,0.001338937781098809,-0.002422546654974498,0.004774634717726054,0.248
gbm_full,medium,280,238,0.04665538473925268,0.049488485344163766,-0.0028331006049110846,-0.005370191687500578,-0.0003434811962139374,0.9905
gbm_full,high,489,318,0.041192847894931744,0.040806922984289215,0.00038592491064252943,-0.0010066112863290574,0.0017373457180276583,0.3
gbm_full,all,1149,604,0.046262974420672134,0.04634174207058626,-7.876764991412294e-05,-0.0013246706824508695,0.0011849239216600608,0.5555
