stratum,n,sd_pooled,n_cold_start,cold_start_share,sd_cold_start,distinct_cold_values,n_trained,sd_trained
low,380,0.01770673577888154,162,0.4263157894736842,0.011854581901410383,4,218,0.019330711518262288
medium,280,0.023502312398303703,0,0.0,,0,280,0.023502312398303703
high,489,0.02573333085368025,0,0.0,,0,489,0.02573333085368025
