stratum,n_hitters,achievable_floor,xwoba_bias
low,380,0.03640046311121023,0.003508313902206012
medium,280,0.03308698579721483,0.004068418753668052
high,489,0.02521381637962016,0.0063416266218094845
all,1149,0.02922948715609308,0.005364108472899405
