window,population,n_pa,n_groups,bb,k,hbp,bip
train,pooled_all,1526308.0,,0.0804162724692526,0.22338086415061703,0.010490674228268475,0.6857121891518618
train,matched,770182.0,1069.0,0.08312172850509696,0.23066172188026215,0.011528324343413941,0.674688225271227
eval,pooled_all,181388.0,,0.07949809248682382,0.2271208679736256,0.011136348600789468,0.6822446909387611
eval,matched,169589.0,1074.0,0.07994032631833432,0.22487897210314348,0.011268419531927188,0.683912282046595
