opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank,rmse_favours_model_v1,rank_favours_model_v1
gbm_full,low,380,239,0.05923029855668104,0.05867962487235527,0.0005506736843257712,-0.0013351831527657306,0.0024933610360459587,0.289,2000,True,0.2592411358329265,0.16650078485938694,0.09274035097353958,-0.034291174721103275,0.21941158383951861,0.916,False,False
gbm_full,medium,280,238,0.04921443950261454,0.049488485344163766,-0.0002740458415492267,-0.0024188408582204177,0.0020614760787787275,0.603,2000,True,0.3388774880449249,0.2615319790480802,0.07734550899684473,-0.021459811405205306,0.18008103318815397,0.939,False,False
gbm_full,high,489,318,0.04357424904176697,0.040806922984289215,0.0027673260574777522,0.0012826614638005612,0.004331344601004748,0.0005,2000,True,0.4890879371853569,0.5238435916195114,-0.034755654434154515,-0.09184034756075503,0.019371413449973906,0.1105,False,False
gbm_full,all,1149,604,0.047930613361441624,0.04634174207058626,0.0015888712908553662,0.0005390178790815955,0.0027064911763721553,0.002,2000,True,0.45910288820904444,0.4417489797933145,0.017353908415729924,-0.02367694030796417,0.058810646510242766,0.79,False,False
eb_bivariate,low,380,239,0.05923029855668104,0.061758664127155666,-0.0025283655704746236,-0.004838434376075786,-0.00025048097903751363,0.9865,2000,True,0.2592411358329265,0.13888378356912778,0.12035735226379873,-0.02381923788019037,0.2631019878977031,0.9465,True,False
eb_bivariate,medium,280,238,0.04921443950261454,0.050619000883100104,-0.0014045613804855653,-0.004238368132750003,0.0019396040465133467,0.822,2000,True,0.3388774880449249,0.1926377527681173,0.14623973527680761,-0.00532148250527317,0.283578841219298,0.972,False,False
eb_bivariate,high,489,318,0.04357424904176697,0.04104868446300824,0.0025255645787587294,0.0007236288179587544,0.004258516480831686,0.004,2000,True,0.4890879371853569,0.5088911233771176,-0.01980318619176069,-0.0879294937872091,0.04460264928922221,0.285,False,False
eb_bivariate,all,1149,604,0.047930613361441624,0.047434740917984,0.0004958724434576262,-0.0008770094023179248,0.0018625413549524352,0.2355,2000,True,0.45910288820904444,0.4102793594008359,0.04882352880820856,-0.008912530814986285,0.10504030020475595,0.96,False,False
