p_throws,stand,balls,strikes,n_pitchers,n_exact_pitches,n_league_pitches,sampled_ball,sampled_called_strike,sampled_hbp,sampled_in_zone,exact_ball,exact_called_strike,exact_hbp,exact_in_zone,league_ball,league_called_strike,league_hbp,league_in_zone,backoff_exact,backoff_strikes,backoff_stand,backoff_empty,draw_gap_ball,pool_gap_ball,draw_gap_called_strike,pool_gap_called_strike,draw_gap_hbp,pool_gap_hbp,draw_gap_in_zone,pool_gap_in_zone
L,L,0,0,540,114071,617262,0.503369594720815,0.49156485262225524,0.005065552656929741,0.5039406594261764,0.4695952496344477,0.5260484306103477,0.004356319755205158,0.5359812245543508,0.4873179193631168,0.5103586538790605,0.002323426757822659,0.5075883498417204,5152,1068,260,4,0.033774345086367286,-0.017722669728669094,-0.03448357798809243,0.01568977673128713,0.0007092329017245828,0.0020328929973824988,-0.032040565128174436,0.02839287471263041
L,L,0,1,540,58191,302332,0.5558898939094608,0.43928145405132446,0.004828652039214624,0.4528736837006386,0.550996243451402,0.4445261216738312,0.0044776348747657575,0.4516088480904549,0.5698050701619924,0.42670531765230274,0.0034896121857047524,0.42803606631120755,5152,1068,260,4,0.004893650458058785,-0.018808826710590476,-0.005244667622506749,0.01782080402152847,0.0003510171644488663,0.0009880226890610052,0.001264835610183701,0.02357278177924732
L,L,0,2,540,30045,153461,0.6575515934853523,0.3383591927326008,0.004089213782046905,0.33860170712939736,0.6783500242743256,0.31883892873993824,0.0028110469857365954,0.3234059640842352,0.6811592190501613,0.31482647474565395,0.00401430620418464,0.3215344615244264,5152,1068,260,4,-0.020798430788973254,-0.002809194775835744,0.019520263992662545,0.004012453994284293,0.0012781667963103096,-0.0012032592184480447,0.015195743045162136,0.0018715025598088353
L,L,1,0,540,44229,251820,0.4392510970356954,0.5591236869812629,0.0016252159830416994,0.5773727137227063,0.45165832914081283,0.5450154584512961,0.00332621240789023,0.5553940529716672,0.47019709155378325,0.5279416074305445,0.001861301015672148,0.5258637121753633,5152,1068,260,4,-0.012407232105117405,-0.018538762412970422,0.014108228529966849,0.01707385102075154,-0.0017009964248485307,0.0014649113922180822,0.021978660751039047,0.0295303407963039
L,L,1,1,540,45878,250840,0.48980239392171776,0.5062585588499111,0.003939047228371172,0.516496374593328,0.5004104124133625,0.49560778861951427,0.003981798967123183,0.505089321653287,0.5217881064590345,0.47546147547308265,0.0027504180678828614,0.4782450964758412,5152,1068,260,4,-0.010608018491644722,-0.021377694045672024,0.010650770230396844,0.020146313146431616,-4.275173875201068e-05,0.0012313808992403213,0.011407052940040963,0.026844225177445835
L,L,1,2,540,43943,231112,0.6244681878229545,0.3729748734589162,0.002556938718129108,0.3673734839876217,0.6151619217109616,0.381309775799456,0.003528302489583279,0.38852984324535067,0.6295083421727684,0.3667553591189532,0.003736298708278293,0.3724341444840597,5152,1068,260,4,0.009306266111992922,-0.014346420461806786,-0.008334902340539796,0.014554416680502835,-0.0009713637714541708,-0.00020799621869501414,-0.021156359257728963,0.016095698761290966
L,L,2,0,540,14924,88886,0.42566549359263034,0.5722690562438772,0.0020654501634925536,0.5857852771405226,0.41375184553201005,0.5831149989161075,0.0031331555518825374,0.5943289152032836,0.4335991977112224,0.5649012827309432,0.001499519557834398,0.5621582701437797,5152,1068,260,4,0.011913648060620285,-0.019847352179212352,-0.010845942672230269,0.01821371618516432,-0.0010677053883899838,0.0016336359940481394,-0.008543638062760928,0.032170645059503844
L,L,2,1,540,23523,134796,0.4433509534297515,0.554008596588144,0.0026404499821046016,0.555107690181981,0.4418660360013704,0.5549783755763225,0.0031555884223072638,0.5673926046866231,0.45703740048994346,0.5411836118440183,0.001778987666038068,0.5431911926169916,5152,1068,260,4,0.0014849174283810829,-0.015171364488573036,-0.0009697789881784047,0.01379476373230415,-0.0005151384402026621,0.0013766007562691959,-0.012284914504642086,0.024201412069631556
L,L,2,2,540,36897,203545,0.5132928878741101,0.4823080773959298,0.004399034729960146,0.4822628636226115,0.5265253051128391,0.47010410418536697,0.0033705907017946317,0.4796910823980767,0.5437801927175541,0.45320458406103725,0.0030152232214085885,0.4587978088383404,5152,1068,260,4,-0.013232417238729033,-0.01725488760471494,0.012203973210562824,0.016899520124329714,0.001028444028165514,0.0003553674803860431,0.0025717812245348304,0.020893273559736247
L,L,3,0,540,4560,28422,0.39492612714039754,0.6009299210425916,0.0041439518170112676,0.6121672475417036,0.38144364002372355,0.615784636608563,0.0027717233677134736,0.6254026010935542,0.3904221752095889,0.608468025849957,0.0011097989404541255,0.604637252832313,5152,1068,260,4,0.013482487116673991,-0.008978535185865333,-0.0148547155659714,0.0073166107586060125,0.001372228449297794,0.001661924427259348,-0.01323535355185057,0.020765348261241212
L,L,3,1,540,9637,58144,0.40332429306565937,0.5921551372472148,0.004520569687125603,0.6083187022703758,0.3846879079960203,0.6118505845207673,0.0034615074832122393,0.6219312509963484,0.39917347546703746,0.599540996717927,0.0012855278150356126,0.6001823059988993,5152,1068,260,4,0.01863638506963905,-0.014485567471017147,-0.019695447273552547,0.012309587802840305,0.001059062203913364,0.0021759796681766266,-0.013612548725972617,0.02174894499744906
L,L,3,2,540,22005,126790,0.4238143002129871,0.5723340897409774,0.0038516100460352486,0.5895953091660731,0.42867797065313645,0.5680100772723095,0.003311952074554191,0.5864966385089465,0.4371138174472361,0.5612223955452329,0.0016637870075310057,0.5701001656282041,5152,1068,260,4,-0.004863670440149348,-0.008435846794099644,0.0043240124686679815,0.0067876817270765555,0.0005396579714810577,0.0016481650670231852,0.0030986706571265454,0.01639647288074242
L,R,0,0,544,295181,882417,0.4563920450057685,0.542084743811106,0.001523211183125579,0.5387846189150152,0.47741111285899507,0.5209266509256231,0.0016622362153806804,0.5157608635167565,0.4657232582105205,0.5312315996700441,0.003045142119435445,0.5304952193804063,5568,788,172,0,-0.021019067853226547,0.01168785464847455,0.021158092885482982,-0.010304948744421005,-0.00013902503225510145,-0.0013829059040547645,0.023023755398258627,-0.014734355863649795
L,R,0,1,544,146894,449583,0.5629890912084896,0.4350188932460981,0.001992015545412401,0.4353405733406067,0.5687077252583396,0.42833495572409397,0.002957319017569228,0.42457411262851635,0.556068481912733,0.44036051359658723,0.003571004490679873,0.43784351276627453,5568,788,172,0,-0.005718634049849958,0.012639243345606621,0.006683937522004135,-0.012025557872493264,-0.0009653034721568269,-0.0006136854731106449,0.010766460712090364,-0.01326940013775818
L,R,0,2,544,75529,233996,0.677281717790087,0.31848251030208385,0.004235771907829247,0.30794844492298257,0.6868459560183423,0.3088840933391047,0.004269950642555349,0.3124337010269384,0.6806515657174186,0.31622011247520393,0.003128321807377488,0.31932169780680014,5568,788,172,0,-0.009564238228255362,0.0061943903009237244,0.00959841696297914,-0.007336019136099214,-3.417873472610217e-05,0.001141628835177861,-0.004485256103955837,-0.006887996779861738
L,R,1,0,544,116932,336541,0.4916847534386607,0.5071073968632551,0.0012078496980841508,0.4995291374958214,0.46551493060286475,0.533022490124873,0.001462579272261027,0.5295351728185554,0.45609613805820404,0.5414447463312559,0.002459115610540025,0.5409504339738694,5568,788,172,0,0.02616982283579594,0.009418792544660715,-0.025915093261617894,-0.008422256206382928,-0.00025472957417687616,-0.0009965363382789978,-0.030006035322734048,-0.011415261155313994
L,R,1,1,544,118092,348374,0.5226022353829471,0.47499923963545204,0.0023985249816010227,0.4671650821706682,0.5199575926205531,0.47765848734923055,0.0023839200302153076,0.47701256121818963,0.5085876721031142,0.48817717127566007,0.0032351566212257873,0.48803871701102836,5568,788,172,0,0.002644642762394067,0.011369920517438903,-0.002659247713778512,-0.010518683926429517,1.4604951385715093e-05,-0.0008512365910104797,-0.009847479047521424,-0.011026155792838721
L,R,1,2,544,110106,334145,0.6248859913363005,0.37092304765589856,0.004190961007800581,0.36969376468467685,0.6332419048507398,0.3628380843323299,0.0039200108169305525,0.36471669300694004,0.6273935559899656,0.36933071142271345,0.003275732587320924,0.37208397551960976,5568,788,172,0,-0.008355913514439317,0.005848348860774233,0.008084963323568672,-0.0064926270903835626,0.0002709501908700288,0.0006442782296096285,0.004977071677736811,-0.007367282512669715
L,R,2,0,544,40222,112364,0.4068699156517244,0.5920597866570976,0.0010702976911778276,0.5970635807306864,0.42280861093147937,0.5761141012276223,0.001077287840898357,0.5714759301261242,0.4168846049495234,0.5809737072141636,0.0021416878363130012,0.5811469865793315,5568,788,172,0,-0.015938695279754944,0.005924005981955971,0.015945685429475276,-0.004859605986541338,-6.990149720529281e-06,-0.0010643999954146443,0.02558765060456225,-0.009671056453207316
L,R,2,1,544,62189,177321,0.44456556246206724,0.5544067280605588,0.0010277094773739786,0.5559714973348231,0.45508702177026816,0.5435381680462594,0.0013748101834738062,0.5417180629650987,0.44676472827858194,0.5507352079563921,0.0025000637650259227,0.5507131135060145,5568,788,172,0,-0.01052145930820092,0.008322293491686228,0.010868560014299367,-0.007197039910132652,-0.0003471007060998276,-0.0011252535815521165,0.014253434369724371,-0.008995050540915761
L,R,2,2,544,95063,281928,0.5573529838732234,0.4391805492230298,0.0034664669037468778,0.44041366025324935,0.5495776397030576,0.44745537674344665,0.002966983553495566,0.4473649793335133,0.5406910417860337,0.45629870471872097,0.0030102534952452242,0.4586809398144207,5568,788,172,0,0.007775344170165788,0.008886597917023953,-0.008274827520416861,-0.008843327975274318,0.0004994833502513117,-4.326994174965815e-05,-0.0069513190802639735,-0.011315960480907383
