stratum,n_batters,rank_difference,se_rank,z,batters_multiplier,batters_needed
low,239,0.0800859901406416,0.07857656172316614,1.0192096521452967,7.555802872264311,1806
medium,238,0.08910205120978282,0.05150874835637699,1.7298430665273896,2.622975682057904,624
high,318,-0.04268320506013845,0.028487418118780684,-1.498317779525236,3.4962284986607073,1112
all,604,0.004043320830809216,0.018527006273569006,0.21823929733199787,164.79414034445142,99536
