model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted,skill_vs_no_info
eb_bivariate,low,woba,380,33003.0,32781.0,0.061758664127155666,0.05104423255256524,0.03476519693444097,0.1139616446795439,0.13888378356912778,0.12161813569366697
eb_bivariate,medium,woba,280,37072.0,36877.0,0.050619000883100104,0.04271879195804831,0.02715489024187496,0.2508706153879467,0.1926377527681173,0.09929292837798254
eb_bivariate,high,woba,489,111752.0,111114.0,0.04104868446300824,0.033382869207523966,0.023886785878743964,0.4850362371640803,0.5088911233771176,0.5182233465926359
eb_bivariate,all,woba,1149,181827.0,180772.0,0.047434740917984,0.03911196566129376,0.0268385690390908,0.32831371902275586,0.4102793594008359,0.3706250358603814
eb_book_rho_reference,low,woba,380,33003.0,32781.0,0.061981234549551074,0.05104423255256524,0.03515906368784731,0.10294813813562315,0.12595119233042476,0.10160241745776788
eb_book_rho_reference,medium,woba,280,37072.0,36877.0,0.05017130300466315,0.04271879195804831,0.026310919003917528,0.2683056093023178,0.20157584316803823,0.15441065037284551
eb_book_rho_reference,high,woba,489,111752.0,111114.0,0.04100030858044055,0.033382869207523966,0.02380355744767355,0.49187090907971365,0.5066432320693934,0.5215747945066544
eb_book_rho_reference,all,woba,1149,181827.0,180772.0,0.047364586560613695,0.03911196566129376,0.02671438193497363,0.331935278989584,0.4095977066296318,0.3764360329364407
trailing_raw,low,woba,380,33003.0,32781.0,0.10542046491477165,0.05104423255256524,0.09223860767577881,0.11379883168660469,0.041589889211782104,-5.183287644157346
trailing_raw,medium,woba,280,37072.0,36877.0,0.0638019182869957,0.04271879195804831,0.047389762509907805,0.15438858213987874,0.12230642630504315,-1.7431940715914886
trailing_raw,high,woba,489,111752.0,111114.0,0.04312209804820664,0.033382869207523966,0.027296508633019256,0.444641292099662,0.4899349747809177,0.3708640221470758
trailing_raw,all,woba,1149,181827.0,180772.0,0.06315608379630264,0.03911196566129376,0.04958775113468424,0.27623402874068514,0.3492700100976697,-1.1485208652630843
trailing_bucketed,low,woba,380,33003.0,32781.0,0.0659836639405918,0.05104423255256524,0.04181303899676025,0.015696489597571698,-0.05941913022740791,-0.27062512777638625
trailing_bucketed,medium,woba,280,37072.0,36877.0,0.05851910485262597,0.04271879195804831,0.039994880252322534,0.15208115411854056,0.14313721345789282,-0.9538727259287862
trailing_bucketed,high,woba,489,111752.0,111114.0,0.04314852422556171,0.033382869207523966,0.027338236708266937,0.4424224200391211,0.4895888863925277,0.3689390360668733
trailing_bucketed,all,woba,1149,181827.0,180772.0,0.05130775015653583,0.03911196566129376,0.03320751975434601,0.2581327643964411,0.3603625223461905,0.03647357655895933
trailing_xwoba,low,woba,380,33003.0,32781.0,0.06344641872333925,0.05104423255256524,0.03768201655879013,-0.010188288087103193,0.019860897585171785,-0.03195852915454922
trailing_xwoba,medium,woba,280,37072.0,36877.0,0.05127949369003921,0.04271879195804831,0.02836708104038478,0.21778846061861862,0.253818352332118,0.01708317806120918
trailing_xwoba,high,woba,489,111752.0,111114.0,0.04188744493437472,0.033382869207523966,0.025301029358577934,0.48076546519241325,0.5180532811196988,0.45948630946383384
trailing_xwoba,all,woba,1149,181827.0,180772.0,0.04842377753971909,0.03911196566129376,0.028550242964394904,0.29780929575466963,0.4248372003316249,0.2877862290018066
no_info_league_average,low,woba,380,33003.0,32781.0,0.06309892525966722,0.05104423255256524,0.03709394414247033,0.0023641254918442666,-0.07302327735660946,0.0
no_info_league_average,medium,woba,280,37072.0,36877.0,0.05141567928356511,0.04271879195804831,0.02861253029418078,0.04659313211986521,0.05080009972015069,0.0
no_info_league_average,high,woba,489,111752.0,111114.0,0.04794515246583336,0.033382869207523966,0.03441397519097954,0.11486235973226791,0.10707293028650613,0.0
no_info_league_average,all,woba,1149,181827.0,180772.0,0.05171294427153656,0.03911196566129376,0.03383020466004934,0.012907374322424153,0.015071635492151675,0.0
gbm_outcome,low,woba,380,33003.0,32781.0,0.05942877710658962,0.05104423255256524,0.030434616335750807,0.11072574012031952,0.08462171505371632,0.32682243260314525
gbm_outcome,medium,woba,280,37072.0,36877.0,0.050209361282221344,0.04271879195804831,0.026383418542971545,0.21128518711569277,0.18113572564284722,0.14974419987162968
gbm_outcome,high,woba,489,111752.0,111114.0,0.04096350739961049,0.033382869207523966,0.023740113351694243,0.4810986644844326,0.49545680234604994,0.524121708274115
gbm_outcome,all,woba,1149,181827.0,180772.0,0.04675610676022231,0.03911196566129376,0.025620063651034985,0.3444598035626816,0.40410204365794444,0.4264765781675749
gbm_full,low,woba,380,33003.0,32781.0,0.05867962487235527,0.05104423255256524,0.02894451067611914,0.12875257984119964,0.16650078485938694,0.39112744780884123
gbm_full,medium,woba,280,37072.0,36877.0,0.049488485344163766,0.04271879195804831,0.02498429497313259,0.25735940255053485,0.2615319790480802,0.2375319212565159
gbm_full,high,woba,489,111752.0,111114.0,0.040806922984289215,0.033382869207523966,0.023468894454555366,0.49785419749716253,0.5238435916195114,0.5349329390040355
gbm_full,all,woba,1149,181827.0,180772.0,0.04634174207058626,0.03911196566129376,0.024855808179307343,0.37043724629850255,0.4417489797933145,0.4601830375495042
min_pa_sweep_rebuild_baseline,low,woba,380,33003.0,32781.0,0.05923029855668104,0.05104423255256524,0.030045209106165528,0.15882698733662148,0.2592411358329265,0.3439386782977373
min_pa_sweep_rebuild_baseline,medium,woba,280,37072.0,36877.0,0.04921443950261454,0.04271879195804831,0.02443697749725799,0.32566058395259095,0.3388774880449249,0.27057197214697504
min_pa_sweep_rebuild_baseline,high,woba,489,111752.0,111114.0,0.04357424904176697,0.033382869207523966,0.028005342758610857,0.4781748825447911,0.4890879371853569,0.3377650424887364
min_pa_sweep_rebuild_baseline,all,woba,1149,181827.0,180772.0,0.047930613361441624,0.03911196566129376,0.027705556109087287,0.38642434849303786,0.45910288820904444,0.32930588853586673
