balls,strikes,share,sampled_ball,sampled_in_zone,exact_ball,exact_in_zone,league_ball,league_in_zone,draw_gap_ball,pool_gap_ball
0,0,1.0,0.4705004783532476,0.5214324757678862,0.4745494915640791,0.5211109200934508,0.4745911711751435,0.5210884440702683,-0.004049013210831509,-4.167961106438245e-05
0,1,1.0,0.5599676838837158,0.4407408563996671,0.562670134848762,0.43266627904396027,0.5617094534549352,0.43381605519450905,-0.002702450965046288,0.0009606813938268788
0,2,1.0,0.6827869295330122,0.31502853308585976,0.6858164525118936,0.3147971348611363,0.6808600350950648,0.3202303759249944,-0.0030295229788813716,0.00495641741682884
1,0,1.0,0.4748659549554414,0.5205734566308124,0.46008196617388364,0.5366573303214007,0.4618867372916613,0.5347550260031105,0.014783988781557789,-0.0018047711177776593
1,1,1.0,0.5141545116814874,0.48176298741659473,0.5134334270134536,0.4845894142567688,0.5140084704261962,0.4840169370951095,0.0007210846680337779,-0.0005750434127426152
1,2,1.0,0.6398169868770286,0.3579313232471495,0.6300202904222116,0.37017287612571725,0.6282619993369281,0.3722277734647459,0.009796696454816956,0.001758291085283581
2,0,1.0,0.4216574817719941,0.5747301444107669,0.4191474486837724,0.5783662249668142,0.4237485030585263,0.5733492127003867,0.002510033088221675,-0.004601054374753888
2,1,1.0,0.44463216422124907,0.5553067662854664,0.4490402398948513,0.5497356965930237,0.45098323221530623,0.5476242139257302,-0.004408075673602241,-0.001942992320454917
2,2,1.0,0.5508442112229339,0.44666329234554136,0.5424685815197539,0.4580612131355889,0.5419596109662457,0.4587289324328303,0.008375629703180065,0.0005089705535081812
3,0,1.0,0.3786340829794804,0.6262297368341728,0.3737667627220161,0.6250472034902588,0.3816722158015111,0.6173158389672212,0.004867320257464336,-0.007905453079495028
3,1,1.0,0.3905417751834117,0.6100990445465306,0.390590254856088,0.6105539763228478,0.39477256780185765,0.605994280798903,-4.847967267629372e-05,-0.004182312945769651
3,2,1.0,0.4324639017492855,0.5724632741404705,0.4316565754772879,0.5733687810129008,0.4318959076797199,0.5732135739595879,0.0008073262719975882,-0.0002393322024319966
