stratum,n,sd_pooled,n_cold_start,cold_start_share,sd_cold_start,distinct_cold_values,n_trained,sd_trained
low,380,0.029390313938217442,162,0.4263157894736842,0.012490640169260435,4,218,0.03533456959445189
medium,280,0.026410305615026018,0,0.0,,0,280,0.026410305615026018
high,489,0.026790388983536546,0,0.0,,0,489,0.026790388983536546
