slice,n_groups,nominal,z,interval,empirical,ci_low,ci_high,gap,mean_half_width,post_selection_descriptive
coverage_all_groups,1149,0.5,0.6744897501960817,seed_only,0.02959094865100087,0.02125180468111705,0.04106505447676296,-0.47040905134899913,0.0019422863518869088,True
coverage_all_groups,1149,0.5,0.6744897501960817,seed_plus_target_noise,0.4360313315926893,0.40761841934257836,0.4648705522542841,-0.06396866840731069,0.036105226696043415,True
coverage_all_groups,1149,0.8,1.2815515655446004,seed_only,0.058311575282854654,0.046176745460833085,0.07338996318416988,-0.7416884247171454,0.0036904046566652166,True
coverage_all_groups,1149,0.8,1.2815515655446004,seed_plus_target_noise,0.7197563098346388,0.6930883958867134,0.7449596948859697,-0.08024369016536126,0.06860105699635276,True
coverage_all_groups,1149,0.95,1.959963984540054,seed_only,0.08268059181897303,0.06811309327261385,0.10002924524025104,-0.8673194081810269,0.005643986874901137,True
coverage_all_groups,1149,0.95,1.959963984540054,seed_plus_target_noise,0.8694516971279374,0.8487338454029071,0.8877074002723565,-0.0805483028720626,0.10491626293405798,True
m6_intersection,1090,0.5,0.6744897501960817,seed_only,0.031192660550458717,0.022406468228576254,0.04327165929289174,-0.4688073394495413,0.0019650680052457517,True
m6_intersection,1090,0.5,0.6744897501960817,seed_plus_target_noise,0.44036697247706424,0.41115651442256135,0.4699962806633398,-0.059633027522935755,0.034952328100066474,True
m6_intersection,1090,0.8,1.2815515655446004,seed_only,0.060550458715596334,0.047875712066289315,0.07631180864365819,-0.7394495412844038,0.003733690508702601,True
m6_intersection,1090,0.8,1.2815515655446004,seed_plus_target_noise,0.728440366972477,0.7012686260538621,0.754007589693994,-0.071559633027523,0.06641051370024056,True
m6_intersection,1090,0.95,1.959963984540054,seed_only,0.0853211009174312,0.07015831754875457,0.10339650366397254,-0.8646788990825688,0.005710186872867936,True
m6_intersection,1090,0.95,1.959963984540054,seed_plus_target_noise,0.8798165137614679,0.8591661884600417,0.897799085915912,-0.0701834862385321,0.10156611606335357,True
m6_intersection_low,348,0.5,0.6744897501960817,seed_only,0.008620689655172414,0.0029360582630219793,0.025035229866810213,-0.49137931034482757,0.0017400910514897884,True
m6_intersection_low,348,0.5,0.6744897501960817,seed_plus_target_noise,0.4827586206896552,0.43073261322208267,0.5351611161859815,-0.017241379310344807,0.045179597650066856,True
m6_intersection_low,348,0.8,1.2815515655446004,seed_only,0.020114942528735632,0.00977709893803425,0.040931702919755085,-0.7798850574712645,0.003306227278588885,True
m6_intersection_low,348,0.8,1.2815515655446004,seed_plus_target_noise,0.7672413793103449,0.7200709190238384,0.8085762751511651,-0.03275862068965518,0.0858426448767919,True
m6_intersection_low,348,0.95,1.959963984540054,seed_only,0.040229885057471264,0.024112923036560707,0.06638652784515363,-0.9097701149425287,0.00505643827760013,True
m6_intersection_low,348,0.95,1.959963984540054,seed_plus_target_noise,0.8936781609195402,0.8568854538169672,0.9218743913655647,-0.056321839080459735,0.13128499610913125,True
m6_intersection_medium,269,0.5,0.6744897501960817,seed_only,0.048327137546468404,0.02845711454252433,0.08091577530228963,-0.4516728624535316,0.002221740590281176,True
m6_intersection_medium,269,0.5,0.6744897501960817,seed_plus_target_noise,0.45353159851301117,0.39511056025247715,0.5132611362336148,-0.04646840148698883,0.035881958539017746,True
m6_intersection_medium,269,0.8,1.2815515655446004,seed_only,0.08178438661710037,0.05462754472365726,0.12071772365117046,-0.7182156133828996,0.004221376426967335,True
m6_intersection_medium,269,0.8,1.2815515655446004,seed_plus_target_noise,0.7174721189591078,0.6608998267605533,0.7679206336845363,-0.08252788104089226,0.06817684053333117,True
m6_intersection_medium,269,0.95,1.959963984540054,seed_only,0.10037174721189591,0.06990128437054491,0.14209530540984602,-0.849628252788104,0.006456038121670427,True
m6_intersection_medium,269,0.95,1.959963984540054,seed_plus_target_noise,0.8884758364312267,0.8452571376185782,0.9207554797576927,-0.061524163568773216,0.10426747984055991,True
m6_intersection_high,473,0.5,0.6744897501960817,seed_only,0.03805496828752643,0.024204985553896344,0.05934785592769061,-0.4619450317124736,0.0019846178034118108,True
m6_intersection_high,473,0.5,0.6744897501960817,seed_plus_target_noise,0.40169133192389006,0.3584744331838045,0.4464921898317277,-0.09830866807610994,0.026899134883411047,True
m6_intersection_high,473,0.8,1.2815515655446004,seed_only,0.07822410147991543,0.057282113294652576,0.10596178544940507,-0.7217758985200846,0.00377083573505854,True
m6_intersection_high,473,0.8,1.2815515655446004,seed_plus_target_noise,0.7061310782241015,0.6635502065132292,0.7453907452283969,-0.09386892177589856,0.051109195375629086,True
m6_intersection_high,473,0.95,1.959963984540054,seed_only,0.10993657505285412,0.08482716254229021,0.14133072877740221,-0.8400634249471458,0.005766995594274547,True
m6_intersection_high,473,0.95,1.959963984540054,seed_plus_target_noise,0.864693446088795,0.830914265318899,0.8925966493009008,-0.08530655391120501,0.07816476910352453,True
