opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
gbm_full,low,384,246,0.06319221874431165,0.060882648339536875,0.002309570404774773,-0.0008810022345305064,0.005388231513316867,0.083
gbm_full,medium,280,236,0.045706336614113365,0.047889563291813084,-0.002183226677699719,-0.00438400348412012,-1.8806207593487118e-05,0.976
gbm_full,high,493,321,0.03887149703157624,0.038531929055476984,0.00033956797609925593,-0.0010643714573551329,0.0017129965942805987,0.309
gbm_full,all,1157,618,0.045581948209916505,0.04530465567118646,0.0002772925387300451,-0.0008672314040099336,0.0014810388311421742,0.315
