stratum,n_hitters,pa,mean_pred,mean_obs,intercept,slope,slope_se,slope_z_vs_one
low,384,32561.0,0.281720499679908,0.2943218881483984,0.16776658069717262,0.44922292696136196,0.12887816927660448,-4.273625829185501
medium,280,37596.0,0.3083122773393365,0.3071550696882647,0.02257177138987666,0.9230358931998296,0.11968086982498609,-0.6430777693437386
high,493,110811.0,0.33063474665237835,0.3211084278636598,0.019600897312653204,0.911905156985828,0.07459090585071265,-1.181039994211712
all,1157,180968.0,0.317196280448609,0.3133900081782414,0.07882127469444403,0.739506570354634,0.048993205723045496,-5.316929680370655
