balls,strikes,take_mass_drawn,take_mass_exact,take_mass_gap
0,0,0.7051700671370162,0.69856841268728,0.0066016544497362875
0,1,0.5402659113688172,0.5403349120993886,-6.900073057128711e-05
0,2,0.5434247569195418,0.530355533792753,0.01306922312678874
1,0,0.570520812763888,0.5693790271208983,0.001141785642989786
1,1,0.47640679369536254,0.4773939748910252,-0.00098718119566267
1,2,0.462376226438964,0.46030213715313806,0.002074089285825911
2,0,0.5666344041387043,0.5609199603025408,0.0057144438361636084
2,1,0.42290944494408067,0.4258144844170964,-0.0029050394730157176
2,2,0.4006978033228136,0.3864979719674561,0.014199831355357448
3,0,0.9295561795841973,0.9294607049760254,9.547460817195896e-05
3,1,0.45097728495333145,0.44849370279169676,0.002483582161634681
3,2,0.3152197652842842,0.3083816760338287,0.006838089250455462
