stratum,n_hitters,achievable_floor,xwoba_bias
low,384,0.036131573322531016,0.002142862421320598
medium,280,0.030054235606360374,0.0005842220526801952
high,493,0.024141458032981823,0.004332947844244317
all,1157,0.02791795713949961,0.0031600970290976385
