stratum,n_batters,rank_difference,se_rank,z,batters_multiplier,batters_needed
low,246,0.02611029597870322,0.058777494577580275,0.4442226768315261,39.774637020506,9785
medium,236,0.1405365864723157,0.06365456001761284,2.207800767665821,1.610230003313226,380
high,321,0.012961493213761166,0.029822225816147484,0.4346252789335081,41.55063925407956,13338
all,618,0.04763882185819629,0.020861321194674657,2.2835956272202558,1.5051135624368734,930
