stratum,n,sd_pooled,n_cold_start,cold_start_share,sd_cold_start,distinct_cold_values,n_trained,sd_trained
low,384,0.02051592362075612,164,0.4270833333333333,0.015061606372798308,4,220,0.020785279577169437
medium,280,0.022787651303994235,0,0.0,,0,280,0.022787651303994235
high,493,0.027163030957290946,0,0.0,,0,493,0.027163030957290946
