stratum,model,n_hitters,weight,mean_obs,mean_pred,sd_obs,sd_pred,rmse,rank_corr_weighted
low,delta_pred,204,17320.49099252268,-0.009708995076110241,-0.004590250818886765,0.07826314032972355,0.028155290188959122,0.07243282369704543,0.40633434249348344
medium,delta_pred,163,22291.08539352713,-0.008861692233531181,-0.00570949030870977,0.06476641568213147,0.02982086776144317,0.05370606986585977,0.5425104710586058
high,delta_pred,172,28331.08081409512,-0.006032211335815551,0.003700915983514713,0.057578128669037096,0.025905697557444363,0.054593281149489865,0.37954185942371643
all,delta_pred,539,67942.65720014492,-0.007897841930629711,-0.001500164820924373,0.06557780804681063,0.02809441263910371,0.05938511330816379,0.43824647325406973
low,delta_route_a,204,17320.49099252268,-0.009708995076110241,-0.005549749466587934,0.07826314032972355,0.020637097055801475,0.0739635149291963,0.37738917392150134
medium,delta_route_a,163,22291.08539352713,-0.008861692233531181,-0.0045426612940884506,0.06476641568213147,0.020607931741714124,0.05739792328495072,0.5218112606344908
high,delta_route_a,172,28331.08081409512,-0.006032211335815551,-0.0009246503497745073,0.057578128669037096,0.020066310882211107,0.055062095660920414,0.3123190463225632
all,delta_route_a,539,67942.65720014492,-0.007897841930629711,-0.003290739418577759,0.06557780804681063,0.020441380706591353,0.06115332205424237,0.3998682917387012
