window,population,n_pa,n_groups,bb,k,hbp,bip
train,pooled_all,1707696.0,,0.08031874525676701,0.22377811975902034,0.010559256448454526,0.6853438785357581
train,matched,816191.0,1104.0,0.08118714668123585,0.23103820408631018,0.01078136603213115,0.6769932832003228
eval,pooled_all,181724.0,,0.08156875261385398,0.22366335761924677,0.010609495718782329,0.684158394048117
eval,matched,166603.0,1110.0,0.08202733444175675,0.22194078137848658,0.010480003361284011,0.6855518808184726
