grouping,balls,strikes,n_pitches,observed,predicted,gap,relative_gap,stand,p_throws,in_zone,all
count,0,0,180379,0.31457653052738954,0.31723636580330683,0.0026598352759172883,0.008455288356884277,,,,
count,0,1,91609,0.4893623988909387,0.4974317360579296,0.00806933716699093,0.016489491602294716,,,,
count,0,2,47794,0.49985353810101685,0.5163169606589137,0.0164634225578969,0.032936492998414585,,,,
count,1,0,68451,0.42593972330572233,0.4382989360847052,0.012359212778982887,0.029016342225756536,,,,
count,1,1,70954,0.544676832877639,0.5527402114892779,0.00806337861163886,0.014803968380733917,,,,
count,1,2,69530,0.5708758809147131,0.584417299478411,0.013541418563697949,0.023720425080843432,,,,
count,2,0,23065,0.4078907435508346,0.4358900129548038,0.027999269403969185,0.06864404217714172,,,,
count,2,1,36464,0.5824648968845985,0.5906303316980003,0.008165434813401817,0.014018758653226795,,,,
count,2,2,59349,0.6421506680820233,0.6532009462841105,0.01105027820208726,0.017208232820332105,,,,
count,3,0,7100,0.08295774647887325,0.09584987907225577,0.012892132593382524,0.15540601258576556,,,,
count,3,1,14857,0.5396109577976711,0.5575628774773477,0.017951919679676576,0.03326826377459834,,,,
count,3,2,35755,0.7059432247238149,0.7212240829964237,0.015280858272608833,0.02164601590813077,,,,
handedness,,,58198,0.4670607237362109,0.4719617879054346,0.004901064169223701,0.010493419635070302,L,L,,
handedness,,,256020,0.47013905163659087,0.47890211413024536,0.008763062493654494,0.018639299294856675,L,R,,
handedness,,,133645,0.4813199146993902,0.4910524898322926,0.009732575132902432,0.020220595150277423,R,L,,
handedness,,,257444,0.4804578859868554,0.4922664402933396,0.011808554306484198,0.024577709411990507,R,R,,
zone,,,348873,0.2804258283100154,0.29586402992115596,0.015438201611140567,0.055052709317750075,,,0.0,
zone,,,356434,0.6669706032533372,0.6711327514770694,0.004162148223732176,0.006240377317126309,,,1.0,
count_x_zone,0,0,81320,0.15684948352188882,0.16100456895266005,0.004155085430771227,0.026490909230130633,,,0.0,
count_x_zone,0,0,99059,0.4440585913445522,0.4454909385316263,0.001432347187074079,0.0032255815223327087,,,1.0,
count_x_zone,0,1,49513,0.2791186153131501,0.29243539134573926,0.013316776032589184,0.04771009636046225,,,0.0,
count_x_zone,0,1,42096,0.7366495629038389,0.7385469017680847,0.0018973388642458122,0.0025756329193580042,,,1.0,
count_x_zone,0,2,32312,0.32412106957167613,0.34934328668134096,0.025222217109664824,0.07781727100615772,,,0.0,
count_x_zone,0,2,15482,0.8666192998320631,0.8648025150810382,-0.0018167847510248691,-0.0020964046743211615,,,1.0,
count_x_zone,1,0,29971,0.21694304494344532,0.2290893304361433,0.012146285492697972,0.05598836088921116,,,0.0,
count_x_zone,1,0,38480,0.5887214137214137,0.6012464696318218,0.01252505591040809,0.02127501330592846,,,1.0,
count_x_zone,1,1,34722,0.30902597776625773,0.32653132923816885,0.017505351471911124,0.056646860559897295,,,0.0,
count_x_zone,1,1,36232,0.77050673437845,0.7695216425315333,-0.0009850918469166414,-0.001278498685298698,,,1.0,
count_x_zone,1,2,42813,0.37584378576600563,0.39932996342220445,0.023486177656198814,0.0624892004222758,,,0.0,
count_x_zone,1,2,26717,0.8834075682149942,0.8810128797671549,-0.0023946884478392994,-0.0027107402449335887,,,1.0,
count_x_zone,2,0,9208,0.19157254561251086,0.21369762101872974,0.022125075406218886,0.11549189021568226,,,0.0,
count_x_zone,2,0,13857,0.5516345529335354,0.5835372342110188,0.03190268127748341,0.05783300032209415,,,1.0,
count_x_zone,2,1,15367,0.31561137502440295,0.3341342451962589,0.018522870171855943,0.05868885483111552,,,0.0,
count_x_zone,2,1,21097,0.77684030904868,0.7774614148506883,0.0006211058020083593,0.0007995282875691229,,,1.0,
count_x_zone,2,2,31125,0.42043373493975905,0.4394122476736213,0.01897851273386225,0.04514031857263202,,,0.0,
count_x_zone,2,2,28224,0.886656746031746,0.8889638871943812,0.0023071411626351956,0.0026020680189496807,,,1.0,
count_x_zone,3,0,2631,0.029266438616495628,0.038755414973984846,0.009488976357489218,0.3242272311240797,,,0.0,
count_x_zone,3,0,4469,0.11456701722980532,0.12946266382109237,0.014895646591287046,0.13001688401652697,,,1.0,
count_x_zone,3,1,5536,0.25523843930635837,0.27154861715166595,0.016310177845307583,0.06390173004361131,,,0.0,
count_x_zone,3,1,9321,0.708507670850767,0.7274346664659727,0.01892699561520561,0.026713889480516582,,,1.0,
count_x_zone,3,2,14355,0.4369209334726576,0.4649280391319296,0.028007105659272002,0.06410108446091352,,,0.0,
count_x_zone,3,2,21400,0.8864018691588785,0.8931460320466486,0.006744162887770022,0.007608470968331407,,,1.0,
overall,,,705307,0.4757701256332349,0.485509860033519,0.009739734400284084,0.020471513185744496,,,,all
trained_hitters,,,647120,0.47576492767956485,0.4847411532040858,0.008976225524520931,0.018866934072463953,,,,trained
