batter,name,stand,stratum,log_prior_pa,level_query,woba_level,pa_2024,woba_2024
444482,David Peralta,L,high,8.284756593190435,0.3248674169191511,0.335932104997476,260,0.3292307692307692
453568,Charlie Blackmon,L,high,8.54772239645106,0.3154488384522563,0.3645409390764454,499,0.32290342052313886
455117,Martín Maldonado,R,high,8.034955024502159,0.2872406476336229,0.2748765392093324,147,0.1814722222222222
456781,Donovan Solano,R,high,7.403061091090091,0.3220268415652539,0.3269390243902438,309,0.33313915857605175
457705,Andrew Mccutchen,R,high,8.475120414994329,0.3434215298679365,0.344365533069059,515,0.32452334630350194
457759,Justin Turner,R,high,8.414274137408396,0.3522520923834786,0.3658578713968958,539,0.3265679702048417
467793,Carlos Santana,L,high,8.591929537530255,0.3527119269406106,0.3364403192871728,594,0.32646700507614207
493329,Yuli Gurriel,R,high,8.196161139282902,0.339900694714241,0.3267862658576944,65,0.2889692307692308
500743,Miguel Rojas,R,high,8.105609402299896,0.3135440679251686,0.2941065821256038,337,0.32704776119402984
501303,Ehire Adrianza,L,medium,7.247792581767846,0.3010882806810991,0.2910220797720798,28,0.2617142857142857
502054,Tommy Pham,R,high,8.264878262801748,0.3457860068095684,0.3405607621009269,478,0.2965878661087866
502110,J. D. Martinez,R,high,8.489410810403786,0.3634808219518888,0.3794479638009049,495,0.3184704684317719
502671,Paul Goldschmidt,R,high,8.629628620746026,0.3626393320348227,0.3845861637468716,654,0.3098441358024691
514888,José Altuve,R,high,8.532081803909987,0.3214056591148126,0.3735559716200236,682,0.344275
516782,Starling Marte,R,high,8.364275084991524,0.320876926094585,0.339476923076923,370,0.31308743169398906
518595,Travis D'Arnaud,R,high,7.8050670442584895,0.3282549719079225,0.3202744698205546,341,0.3188093841642229
518692,Freddie Freeman,L,high,8.59007183682881,0.3623697581624967,0.3936317649246791,638,0.3653720190779014
518735,Yasmani Grandal,L,high,8.257385655730436,0.3303448989647898,0.3367608300907911,243,0.308275
518792,Jason Heyward,L,high,8.242229891372231,0.322745512320242,0.316209112457203,258,0.3002196078431372
518934,Dj Lemahieu,R,high,8.545391845774915,0.3555628294841302,0.3440276157137301,228,0.23862995594713654
519203,Anthony Rizzo,L,high,8.532278828834277,0.354235055874599,0.3647085714285714,375,0.2848133333333333
519317,Giancarlo Stanton,R,high,8.231908243564177,0.3656254624427297,0.3613661522086215,459,0.32992122538293217
521692,Salvador Pérez,R,high,8.292047637431354,0.3395381267142229,0.3224893510398396,652,0.3350576323987539
527038,Wilmer Flores,R,high,8.193676665955241,0.3244133474976878,0.3313928670168647,242,0.2622199170124481
541645,Avisaíl García,R,high,8.22389538017882,0.3186155000108631,0.3159957081545064,51,0.2741372549019608
542194,Christian Bethancourt,R,medium,6.9411900550683745,0.3000641438590726,0.2726979670861568,147,0.26335862068965515
542303,Marcell Ozuna,R,high,8.415603335654604,0.3629797087276801,0.3434010186005314,688,0.39453722627737225
542364,Rafael Ortega,L,medium,7.144407180321139,0.3000544293251953,0.2984976303317535,17,0.13294117647058823
542932,Jon Berti,R,medium,7.342131730584722,0.3123070250145463,0.3118146467919637,74,0.29997260273972604
543063,Brandon Crawford,L,high,8.383890344101816,0.3043463418382061,0.3133385142857143,80,0.24805000000000002
543228,Yan Gomes,R,high,8.013343181386672,0.3054578788341408,0.2967274834437086,96,0.18448421052631578
543257,Robbie Grossman,L,high,8.187021067343505,0.3196161499262822,0.3234252713609797,245,0.28340408163265307
543305,Aaron Hicks,L,high,8.01862546504575,0.3248714061839626,0.3234963768115942,63,0.19615873015873014
543309,Kyle Higashioka,R,medium,6.825460036255307,0.3175247287437834,0.2767445652173912,263,0.3139198473282443
543510,James Mccann,R,high,8.02322468471667,0.2974915936758533,0.2921911475409836,233,0.28836480686695276
543685,Anthony Rendon,R,high,8.211482916445066,0.3658778957864764,0.3650040738728951,238,0.26410504201680673
543760,Marcus Semien,R,high,8.609590040682205,0.3320746317515169,0.3332841510122196,718,0.3059078212290503
543807,George Springer,R,high,8.47782846789396,0.3506721638770889,0.358866000832293,614,0.29834257748776505
543877,Christian Vázquez,R,high,7.928766321626696,0.3075634455957925,0.2979693693693693,315,0.25008064516129036
545121,Ildemaro Vargas,L,medium,6.785587645007929,0.3053167383485753,0.2830260180995475,303,0.2709563758389262
545341,Randal Grichuk,R,high,8.327967858305488,0.3309444948774501,0.3234493594392071,279,0.37304659498207887
545361,Mike Trout,R,high,8.34924780056679,0.393672845895529,0.4224439185991481,126,0.36552799999999996
547180,Bryce Harper,L,high,8.486940148245216,0.3677654990527075,0.3937018556701031,631,0.38023101777059776
547989,José Abreu,R,high,8.600982717145921,0.3520367910397213,0.3513627667402502,120,0.16353333333333334
553869,Elías Díaz,R,high,7.679713639966372,0.3112458000156421,0.299708275543227,351,0.30252722063037246
553882,Omar Narváez,L,medium,7.703007682479236,0.2942904414312367,0.3151955736224028,69,0.17104411764705882
553993,Eugenio Suárez,R,high,8.52456594574565,0.3211309757871912,0.3404833200953137,640,0.3373203125
570482,Gio Urshela,R,high,7.768956044538332,0.3281649352459769,0.3204346723044397,461,0.28135217391304346
571448,Nolan Arenado,R,high,8.591929537530255,0.3443164804515569,0.37058288472248,635,0.3136962025316456
571466,Tucker Barnhart,L,high,7.9672801789422,0.2742001397126834,0.2951106102635229,96,0.23852127659574468
571657,Kyle Farmer,R,high,7.517520850603031,0.2967676595434395,0.3079238716693855,242,0.28497095435684644
571745,Mitch Haniger,R,high,7.884576510596324,0.3286588733431316,0.3390331450094162,423,0.2769692671394799
571771,Enrique Hernández,R,high,8.117312461601975,0.3274204876887401,0.3095138764547896,393,0.28514540816326533
571912,Luke Maile,R,medium,6.993932975223189,0.2880337334054722,0.2658448117539027,154,0.2407124183006536
