batter,stand,stratum,centered_obs,centered_pred,agree
444482,L,high,0.014137265418530356,-0.014772172500542805,False
453568,L,high,0.019976860724664154,-0.0016522565940144014,False
455117,R,high,-0.13346453171966072,0.0007398700169334062,False
456781,R,high,0.023075777790511894,0.005707373886750303,True
457705,R,high,-0.035940785091761504,-0.00010539106462629372,True
457759,R,high,-0.013618559519628308,-0.0048288432073799945,True
467793,L,high,0.12599101107743266,0.028312802498253895,True
493329,R,high,-0.1819222843084651,-0.0065950216777465945,True
500743,R,high,-0.053132801803812316,0.005580480213553705,False
502054,R,high,-0.01786096989037191,0.007125632865103603,False
502110,R,high,0.04762614167568338,0.0014060729467386054,True
502671,R,high,0.05128454743931368,0.005622914317298805,True
514888,R,high,0.08024159907448539,0.0039819556071092055,True
516782,R,high,0.06196432676756258,-0.006431869827025295,False
518595,R,high,0.06522487019395248,0.0027873802424656056,True
518692,L,high,-0.02207079728659434,-0.010070981752628504,True
518735,L,high,-0.030089672505008346,0.023533922694274297,False
518792,L,high,-0.060991146465246344,-0.007152071980360202,True
518934,R,high,-0.07442616776284351,0.003187814497387604,False
519203,L,high,-0.008863905413241946,-0.009812974600805002,True
519317,R,high,-0.059952685508715506,0.013320856056298805,False
521692,R,high,0.010067313952379892,-0.011439427599106594,False
527038,R,high,-0.01381427758577971,-0.006574320614656294,True
541645,R,high,0.1486187263378086,-0.005726178916085395,False
542194,R,medium,0.03274362605219519,-0.0013989081059246969,False
542303,R,high,-0.01922256931387571,0.007815721512305206,False
542932,R,medium,-0.081495834388821,-0.0033747876096300936,True
543063,L,high,0.04739979033322905,-0.00025531557648590317,False
543228,R,high,-0.1297772012640013,-0.0001089972559583964,True
543257,R,high,0.06388332448475968,-0.024659198260304493,False
543305,L,high,0.12808780862354915,0.04472663984360539,True
543309,R,medium,-0.020897437989721608,0.002888251933332305,False
543510,R,high,-0.04263257046382361,0.007582170126912206,False
543685,R,high,-0.01933866431075841,-0.0016910757419934946,True
543760,R,high,0.02415315907525609,0.0007229371494000061,True
543807,R,high,-0.05580947879039641,-0.0034861540551562945,True
543877,R,high,-0.03205947272868821,-0.002154349925826894,True
545121,L,medium,0.054611580117047254,0.036140732042584195,True
545341,R,high,0.035535542626020794,0.007514439948620003,True
545361,R,high,-0.1930173135482312,-0.005239594249737295,True
547180,L,high,0.047491223529687855,-0.015986316437284005,False
547989,R,high,-0.005162268744391308,-0.005377756073115296,True
553869,R,high,-0.05824264239832061,0.006147151002648305,False
553993,R,high,-0.00905844578814081,0.0024205809320838045,False
570482,R,high,-0.11361604443453802,-0.0025587233277526954,True
571448,R,high,-0.0639586098545902,-0.0015973880111796943,True
571466,L,high,-0.11938448120402273,-0.0030311436047154063,True
571657,R,high,0.06178863259642449,-0.004327267756466795,False
571745,R,high,-0.10396435223911761,0.009755796074712806,False
571771,R,high,-0.0006999599042647082,0.008491659386530705,False
571912,R,medium,0.061734255061727486,0.0012801504765910035,True
571970,L,high,-0.021807285180348746,-0.009700719595128807,True
572138,L,low,-0.09844377820328945,-0.008538300098044103,True
572191,R,high,0.01940437051069559,-0.000777452866542995,False
572233,R,high,-0.036228670313159406,0.00017678059303250643,False
572761,L,high,0.03763094299634156,-0.0021983918272962012,False
573262,L,high,0.009373473090672754,-0.0015868013149005038,False
575929,R,high,-0.004592740098377009,-0.0029556853859999954,True
578428,R,high,0.08928389502876678,9.732433715506361e-06,True
592178,R,high,-0.1959061621794711,0.0013013697546084037,False
592192,R,high,0.023968591648303793,-0.0009086751102581961,False
592200,R,high,-0.01110652010172351,-6.149028732129608e-05,True
592206,R,high,0.022719531973890292,0.0007663911719113063,True
592273,R,high,-0.05564482677574441,0.006862070714858004,False
592325,L,high,0.039941325247590156,-0.009731764204525702,False
592450,R,high,0.01507401461908119,0.002510695370379904,True
592518,R,high,-0.015520896324349309,0.0012022738511356032,False
592626,L,high,-0.011488561970454843,-0.0190712280737183,True
592663,R,high,0.0044081046625176895,-0.0003810581191229963,False
592669,R,high,-0.01173547874122871,0.008400322974045905,False
592696,L,high,-0.004109539028978246,0.0019562218216578955,False
592885,L,high,0.03502899371120195,-0.010211110698710207,False
593160,R,high,-0.03079601725193481,-0.0010202063688193944,True
593428,R,high,-0.03939819513404241,0.002529069283681306,False
