batter,embedding_index,name,stand
456422,206,Michael Bourn,L
456488,207,Eduardo Núñez,R
456501,208,Johnny Cueto,R
456665,209,Steve Pearce,R
456714,210,Billy Butler,R
456715,211,Lorenzo Cain,R
456781,212,Donovan Solano,R
457449,213,Jamie Romak,R
457454,214,Jarrod Saltalamacchia,L
457477,215,Alejandro De Aza,L
457574,216,Jordan Pacheco,R
457705,217,Andrew Mccutchen,R
457706,218,Austin Jackson,R
457708,219,Justin Upton,R
457727,220,Cameron Maybin,R
457759,221,Justin Turner,R
457760,222,Danny Dorn,L
457762,223,Bryan Anderson,L
457763,224,Buster Posey,R
457775,225,Desmond Jennings,R
457787,226,Danny Espinosa,L
457788,227,Jordan Schafer,L
457789,228,Jemile Weeks,L
457803,229,Jay Bruce,L
457915,230,Javy Guerra,R
457926,231,Paul Janish,R
458015,232,Joey Votto,L
458085,233,Chris Coghlan,L
458582,234,Reid Brignac,L
458668,235,Jordan Danks,L
458675,236,Colby Rasmus,L
458681,237,Lance Lynn,L
458689,238,Chris Dominguez,R
458731,239,Brett Gardner,L
458913,240,Eric Young,L
459431,241,Michael Saunders,L
459964,242,Matt Joyce,L
460003,243,Taylor Teagarden,R
460026,244,Nick Hundley,R
460055,245,John Mayberry,R
460060,246,Cliff Pennington,L
460075,247,Ryan Braun,R
460077,248,Drew Butera,R
460086,249,Alex Gordon,L
460099,250,Nolan Reimold,R
460131,251,Brian Bogusevic,L
460269,252,Chris Gimenez,R
460576,253,Carlos Gómez,R
461235,254,Brandon Moss,L
461314,255,Matt Kemp,R
461416,256,Will Venable,L
461815,257,David Murphy,L
461829,258,Gio Gonzalez,R
461858,259,Trevor Plouffe,R
461865,260,Andrew Romine,L
462101,261,Elvis Andrus,R
462564,262,Dan Uggla,R
463610,263,Gregorio Petit,R
465041,264,Francisco Cervelli,R
465674,265,Pedro Ciriaco,R
465753,266,Pedro Florimón,L
465784,267,Everth Cabrera,L
466320,268,Melky Cabrera,L
466948,269,Jean Machi,R
466988,270,Emilio Bonifácio,L
467055,271,Pablo Sandoval,L
467070,272,Elián Herrera,L
467092,273,Wilson Ramos,R
467100,274,Iván Nova,R
467143,275,Héctor Gómez,R
467793,276,Carlos Santana,L
467798,277,José Tábata,R
467827,278,Gerardo Parra,L
468406,279,Jonathan Herrera,L
468504,280,Jhoulys Chacín,R
471083,281,Miguel Montero,L
471865,282,Carlos González,L
472528,283,Luis Valbuena,L
473724,284,Matt Mcbride,R
474233,285,Hank Conger,L
474249,286,Ryan Jackson,R
474319,287,Brandon Snyder,R
474443,288,Iván De Jesús,R
474463,289,Brett Anderson,L
474494,290,Thomas Field,R
474568,291,Jordy Mercer,R
474668,292,Eric Surkamp,L
474832,293,Brandon Belt,L
474865,294,Julio Borbon,L
474892,295,Chris Carter,R
475100,296,Scott Van Slyke,R
475115,297,Tyson Ross,R
475174,298,Yonder Alonso,L
475247,299,Ryan Flaherty,L
475253,300,Justin Smoak,L
475582,301,Ryan Zimmerman,R
476192,302,Johnny Monell,L
476270,303,Steven Tolleson,R
476451,304,Jeremy Hellickson,R
476570,305,Vin Mazzaro,R
476594,306,Robert Stock,L
476633,307,Chris Parmelee,L
476704,308,Jed Lowrie,L
476883,309,Pedro Álvarez,L
477003,310,Jonathon Niese,L
477132,311,Clayton Kershaw,L
477165,312,Brett Wallace,L
477195,313,Ike Davis,L
485567,314,Ezequiel Carrera,L
488671,315,Alex Avila,L
488681,316,Brandon Barnes,R
488689,317,Mike Baxter,L
488703,318,Jeff Bianchi,R
488721,319,Peter Bourjos,R
488726,320,Michael Brantley,L
488768,321,Andrew Cashner,R
488771,322,Jason Castro,L
488810,323,Tony Cruz,R
488818,324,Chase D'Arnaud,R
488852,325,Allan Dykstra,L
488862,326,Yunel Escobar,R
488912,327,Tuffy Gosewisch,R
488984,328,Tommy Hunter,R
489067,329,Ryan Lollis,L
489119,330,Wade Miley,L
489138,331,Tyler Moore,R
489149,332,Logan Morrison,L
489232,333,Anthony Recker,R
489267,334,Adam Rosales,R
489305,335,Xavier Scruggs,R
489365,336,Josh Thole,L
491676,337,Gorkys Hernández,R
491696,338,Jesús Sucre,R
492802,339,Juan Graterol,R
492841,340,Michael Martínez,L
493114,341,Nori Aoki,L
493128,342,Munenori Kawasaki,L
493193,343,Dae-Ho Lee,R
493316,344,Yoenis Céspedes,R
493329,345,Yuli Gurriel,R
493343,346,Héctor Olivera,R
493351,347,Alexei Ramírez,R
493472,348,Eric Campbell,R
493596,349,Gordon Beckham,R
499624,350,Chris Colabello,R
499864,351,Luis Jiménez,R
