head,n_rows,model_nll,cold_start_nll,frequency_reference_nll,identity_gain,gain_vs_reference,identity_share_of_gain
swing,705307,0.41934646739296555,0.4510799791606557,0.659704314735301,0.031733511767690126,0.24035784734233545,0.13202611072852932
contact,335564,0.41400041625399125,0.4406752340833294,0.5403729628884266,0.02667481782933817,0.12637254663443537,0.2110807967374579
split,257505,0.7571391970681088,0.7702043544995507,0.8022124434340526,0.013065157431441876,0.045073246365943787,0.2898650193812883
ev,122693,2.9817346315132625,3.0893052635959526,3.1700208794573985,0.10757063208269013,0.18828624794413606,0.571314332603866
la,122691,2.91072504313675,2.9488985410928823,3.1644363441544163,0.03817349795613234,0.25371130101766637,0.1504603768259982
spray,121468,2.912059844790252,2.949654119272927,3.1726398286680917,0.03759427448267472,0.26057998387783954,0.14427153583791377
