head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
swing,overall,all,positive,705307,0.4757701256332349,0.48500274063377025,0.009232615000535349,0.019405621545167496
swing,count,0-0,positive,180379,0.31457653052738954,0.31668829092347023,0.0021117603960806863,0.006713025897196802
swing,count,0-1,positive,91609,0.4893623988909387,0.4963055303286733,0.006943131437734618,0.014188117954035925
swing,count,0-2,positive,47794,0.49985353810101685,0.5152820664258446,0.015428528324827773,0.03086609806432895
swing,count,1-0,positive,68451,0.42593972330572233,0.43868310221713813,0.012743378911415804,0.029918268276352147
swing,count,1-1,positive,70954,0.544676832877639,0.5521681507737031,0.007491317896064054,0.013753692912705485
swing,count,1-2,positive,69530,0.5708758809147131,0.5831312117452159,0.012255330830502786,0.021467592589243915
swing,count,2-0,positive,23065,0.4078907435508346,0.4360188356642264,0.02812809211339179,0.06895986868573359
swing,count,2-1,positive,36464,0.5824648968845985,0.5902071250604913,0.0077422281758928735,0.01329217986749648
swing,count,2-2,positive,59349,0.6421506680820233,0.6528842467486266,0.010733578666603294,0.016715047106720865
swing,count,3-0,positive,7100,0.08295774647887325,0.09515505016849964,0.01219730368962639,0.14703031612283085
swing,count,3-1,positive,14857,0.5396109577976711,0.5583584666822213,0.018747508884550235,0.03474263932864698
swing,count,3-2,positive,35755,0.7059432247238149,0.7218366770458605,0.015893452322045643,0.022513782646279543
swing,handedness,LvL,positive,58198,0.4670607237362109,0.47084866248742513,0.003787938751214248,0.008110163322903643
swing,handedness,LvR,positive,256020,0.47013905163659087,0.4779488175082651,0.007809765871674257,0.016611608511328403
swing,handedness,RvL,positive,133645,0.4813199146993902,0.4914594270608838,0.01013951236149363,0.021066056175602654
swing,handedness,RvR,positive,257444,0.4804578859868554,0.4918655169307562,0.011407630943900793,0.023743248423261157
swing,two_strike,0,positive,492879,0.4232864455576318,0.4308279034098064,0.007541457852174638,0.017816440690038217
swing,two_strike,1,positive,212428,0.5975436383150997,0.6107001044281387,0.013156466113039,0.02201758209682632
contact,overall,all,positive,335564,0.7673796950805212,0.7561886761605084,-0.01119101892001273,-0.014583418080717468
contact,count,0-0,positive,56743,0.7518989126412069,0.7409682134168006,-0.01093069922440626,-0.01453745848096764
contact,count,0-1,positive,44830,0.741133169752398,0.7290376889877559,-0.012095480764642064,-0.016320252902299586
contact,count,0-2,positive,23890,0.7409376308078695,0.7250304569774038,-0.015907173830465693,-0.021468978182578688
contact,count,1-0,positive,29156,0.7628618466181918,0.7539769505144664,-0.008884896103725337,-0.011646795737803072
contact,count,1-1,positive,38647,0.7614562579242891,0.7511165655831511,-0.010339692341137963,-0.01357883953744593
contact,count,1-2,positive,39693,0.7569596654321921,0.743127570959255,-0.013832094472937095,-0.018273225251757043
contact,count,2-0,positive,9408,0.7955994897959183,0.7855744076105977,-0.01002508218532061,-0.012600664422110396
contact,count,2-1,positive,21239,0.7880785347709403,0.780437196548358,-0.0076413382225822835,-0.009696163371336188
contact,count,2-2,positive,38111,0.7856261971609246,0.7743825001493805,-0.011243697011544151,-0.01431176436348015
contact,count,3-0,positive,589,0.831918505942275,0.839302201951808,0.007383696009533036,0.008875503978806038
contact,count,3-1,positive,8017,0.8262442310091056,0.8119880037491705,-0.01425622725993514,-0.017254253312635873
contact,count,3-2,positive,25241,0.8288102690067747,0.8204883283085334,-0.008321940698241326,-0.010040827206706945
contact,handedness,LvL,positive,27182,0.7502391288352587,0.7481672684090707,-0.0020718604261880103,-0.0027616000639750153
contact,handedness,LvR,positive,120365,0.7774020687076808,0.7636481010999083,-0.013753967607772477,-0.017692218944871694
contact,handedness,RvL,positive,64326,0.7685383826135622,0.760762883586808,-0.007775499026754229,-0.010117255302607207
contact,handedness,RvR,positive,123691,0.7607910033874736,0.7483137600854872,-0.012477243301986407,-0.016400356006354744
contact,two_strike,0,positive,208629,0.7616247022226057,0.7511387164671269,-0.010485985755478766,-0.013767917092077128
contact,two_strike,1,positive,126935,0.7768385394099342,0.7644887355678467,-0.012349803842087503,-0.015897516942797514
split,overall,all,foul,257505,0.49363313333721676,0.5031606007033405,0.009527467366123699,0.0193007047596523
split,overall,all,foul_tip,257505,0.02833731383856624,0.029070052701709762,0.0007327388631435221,0.025857738927473298
split,overall,all,in_play,257505,0.478029552824217,0.467769346542704,-0.010260206281512974,-0.02146353969309069
split,count,0-0,foul,42665,0.4980428923004805,0.5099322035784711,0.011889311277990644,0.023872062952396387
split,count,0-0,foul_tip,42665,0.02859486698699168,0.029175997702315357,0.0005811307153236779,0.020322903253512065
split,count,0-0,in_play,42665,0.47336224071252786,0.4608917989261552,-0.012470441786372632,-0.026344394871043193
split,count,0-1,foul,33225,0.49577125658389765,0.504340498935378,0.008569242351480377,0.017284669568233095
split,count,0-1,foul_tip,33225,0.028081264108352145,0.030282534876245475,0.0022012707678933305,0.07838930467658725
split,count,0-1,in_play,33225,0.4761474793077502,0.4653769657759177,-0.010770513531832504,-0.02262012086568489
split,count,0-2,foul,17701,0.5038133438788769,0.5121830294720972,0.008369685593220266,0.0166126715278753
split,count,0-2,foul_tip,17701,0.030506751031015196,0.0321105832017873,0.0016038321707721043,0.05257302454599448
