head,n_rows,model_nll,cold_start_nll,frequency_reference_nll,identity_gain,gain_vs_reference,identity_share_of_gain
swing,705344,0.41659558219433346,0.44618588463553716,0.6606760017804434,0.029590302441203697,0.24408041958610993,0.12123177472154598
contact,337137,0.41692665347813196,0.44537831216900176,0.5411556700221091,0.028451658690869797,0.12422901654397711,0.22902587078597617
split,258502,0.7580945206716984,0.7700867115869899,0.8025107500488008,0.011992190915291578,0.044416229377102434,0.2699956993979733
ev,122316,2.9797611708767318,3.0756347284643284,3.169975828973175,0.09587355758759664,0.19021465809644322,0.5040282307738162
la,122316,2.9082451197682233,2.945304066266747,3.1658274930737655,0.03705894649852359,0.25758237330554223,0.14387221463545005
spray,121153,2.91365439412386,2.9514304540722516,3.1732403892370296,0.037776059948391616,0.2595859951131696,0.14552426039749444
