slice,n_groups,nominal,z,interval,empirical,ci_low,ci_high,gap,mean_half_width,post_selection_descriptive
coverage_all_groups,1149,0.5,0.6744897501960817,seed_only,0.024369016536118365,0.016913176174407747,0.034994619440359004,-0.47563098346388166,0.002053469136488685,True
coverage_all_groups,1149,0.5,0.6744897501960817,seed_plus_target_noise,0.43429068755439515,0.40589667209015684,0.4631226116590012,-0.06570931244560485,0.03611755170937996,True
coverage_all_groups,1149,0.8,1.2815515655446004,seed_only,0.057441253263707574,0.045403568310679286,0.07242829641047147,-0.7425587467362925,0.003901655415667251,True
coverage_all_groups,1149,0.8,1.2815515655446004,seed_plus_target_noise,0.7119234116623151,0.6850660061851082,0.7373684892729053,-0.08807658833768495,0.0686244749061612,True
coverage_all_groups,1149,0.95,1.959963984540054,seed_only,0.07658833768494343,0.06258331845900043,0.09341511258689895,-0.8734116623150565,0.005967067030614408,True
coverage_all_groups,1149,0.95,1.959963984540054,seed_plus_target_noise,0.8694516971279374,0.8487338454029071,0.8877074002723565,-0.0805483028720626,0.10495207753649127,True
m6_intersection,1090,0.5,0.6744897501960817,seed_only,0.024770642201834864,0.0170789087158986,0.0358002890455895,-0.4752293577981651,0.002064230198434095,True
m6_intersection,1090,0.5,0.6744897501960817,seed_plus_target_noise,0.43853211009174314,0.40934131466895185,0.4681546433426693,-0.061467889908256856,0.03496436553298336,True
m6_intersection,1090,0.8,1.2815515655446004,seed_only,0.05963302752293578,0.04706118891862169,0.07529791325418583,-0.7403669724770643,0.003922101769046309,True
m6_intersection,1090,0.8,1.2815515655446004,seed_plus_target_noise,0.7201834862385321,0.6927960783389342,0.7460243705746621,-0.07981651376146792,0.0664333851982808,True
m6_intersection,1090,0.95,1.959963984540054,seed_only,0.0798165137614679,0.06516417453216027,0.09742013545772692,-0.870183486238532,0.005998337029665211,True
m6_intersection,1090,0.95,1.959963984540054,seed_plus_target_noise,0.8788990825688073,0.8581890282744408,0.8969478275643729,-0.07110091743119262,0.10160109500110102,True
m6_intersection_low,348,0.5,0.6744897501960817,seed_only,0.011494252873563218,0.004478719682052728,0.029176946879768753,-0.4885057471264368,0.0017381222810390455,True
m6_intersection_low,348,0.5,0.6744897501960817,seed_plus_target_noise,0.47413793103448276,0.4222444849443716,0.5265961091677247,-0.025862068965517238,0.04518014615782567,True
m6_intersection_low,348,0.8,1.2815515655446004,seed_only,0.028735632183908046,0.01568209518788788,0.05207984196586932,-0.771264367816092,0.0033024865533182427,True
m6_intersection_low,348,0.8,1.2815515655446004,seed_plus_target_noise,0.7557471264367817,0.7079746679747094,0.797935012472337,-0.04425287356321839,0.08584368705864391,True
m6_intersection_low,348,0.95,1.959963984540054,seed_only,0.04310344827586207,0.026292604634872964,0.06989122467883066,-0.9068965517241379,0.005050717331987301,True
m6_intersection_low,348,0.95,1.959963984540054,seed_plus_target_noise,0.8908045977011494,0.8536708177408314,0.9194046490097112,-0.059195402298850563,0.1312865899887302,True
m6_intersection_medium,269,0.5,0.6744897501960817,seed_only,0.04460966542750929,0.025699967329258763,0.07634265823444256,-0.45539033457249073,0.0023618304673627766,True
m6_intersection_medium,269,0.5,0.6744897501960817,seed_plus_target_noise,0.45724907063197023,0.3987367380924372,0.5169652226747673,-0.042750929368029766,0.035893759234192205,True
m6_intersection_medium,269,0.8,1.2815515655446004,seed_only,0.08921933085501858,0.060687662383000406,0.12931813455405258,-0.7107806691449815,0.004487551563414825,True
m6_intersection_medium,269,0.8,1.2815515655446004,seed_plus_target_noise,0.7174721189591078,0.6608998267605533,0.7679206336845363,-0.08252788104089226,0.06819926222227594,True
m6_intersection_medium,269,0.95,1.959963984540054,seed_only,0.10037174721189591,0.06990128437054491,0.14209530540984602,-0.849628252788104,0.006863117863947841,True
m6_intersection_medium,269,0.95,1.959963984540054,seed_plus_target_noise,0.8921933085501859,0.8494596819391704,0.9238831997182133,-0.057806691449814096,0.10430177085466019,True
m6_intersection_high,473,0.5,0.6744897501960817,seed_only,0.023255813953488372,0.01303434783700029,0.04115863044262377,-0.47674418604651164,0.0021349090206574813,True
m6_intersection_high,473,0.5,0.6744897501960817,seed_plus_target_noise,0.40169133192389006,0.3584744331838045,0.4464921898317277,-0.09830866807610994,0.026919759691397097,True
m6_intersection_high,473,0.8,1.2815515655446004,seed_only,0.06553911205073996,0.04655286833246102,0.09152543338134272,-0.7344608879492601,0.004056393736040466,True
m6_intersection_high,473,0.8,1.2815515655446004,seed_plus_target_noise,0.6955602536997886,0.652652008263444,0.7353176126196369,-0.10443974630021147,0.0511483831541771,True
m6_intersection_high,473,0.95,1.959963984540054,seed_only,0.09513742071881606,0.07186312333321335,0.12493490478451616,-0.8548625792811839,0.006203718869770675,True
m6_intersection_high,473,0.95,1.959963984540054,seed_plus_target_noise,0.8625792811839323,0.8286185737034177,0.8906980747446731,-0.08742071881606761,0.07822470163893962,True
