model,route,tau2,ceiling_rank_corr,achieved_rank_corr,achieved_ci_low,achieved_ci_high,fraction_of_ceiling,fraction_ci_low,fraction_ci_high,interval_note,route_role,population,post_selection_descriptive
model_v1_model,B_prime,0.0003929668596653433,0.2964517824970523,0.14626474805407283,0.04340653140827627,0.23940357955184116,0.4933846132482849,0.1464202071671061,0.8075632992836588,"hitter-level paired bootstrap on the NUMERATOR only; the ceiling is held fixed, so this understates total uncertainty by the width of the route disagreement",primary (pre-registered),M.6 intersection,True
model_v1_model,A,0.00011715197121669324,0.16709992545088512,0.14626474805407283,0.04340653140827627,0.23940357955184116,0.8753130658760451,0.2597639184527018,1.4326971056741011,"hitter-level paired bootstrap on the NUMERATOR only; the ceiling is held fixed, so this understates total uncertainty by the width of the route disagreement","sensitivity, carries the fragility band",M.6 intersection,True
eb_bivariate,B_prime,0.0003929668596653433,0.2964517824970523,0.14582642711091456,0.048406580524643396,0.23955927634057475,0.4919060559616118,0.16328652206746208,0.8080885003380163,"hitter-level paired bootstrap on the NUMERATOR only; the ceiling is held fixed, so this understates total uncertainty by the width of the route disagreement",primary (pre-registered),M.6 intersection,True
eb_bivariate,A,0.00011715197121669324,0.16709992545088512,0.14582642711091456,0.048406580524643396,0.23955927634057475,0.8726899591213559,0.2896864280102346,1.4336288642509734,"hitter-level paired bootstrap on the NUMERATOR only; the ceiling is held fixed, so this understates total uncertainty by the width of the route disagreement","sensitivity, carries the fragility band",M.6 intersection,True
gbm_full,B_prime,0.0003929668596653433,0.2964517824970523,0.1412976147889645,0.04687922167550123,0.23289162473464434,0.4766293310797329,0.15813438961517245,0.7855969789520832,"hitter-level paired bootstrap on the NUMERATOR only; the ceiling is held fixed, so this understates total uncertainty by the width of the route disagreement",primary (pre-registered),M.6 intersection,True
gbm_full,A,0.00011715197121669324,0.16709992545088512,0.1412976147889645,0.04687922167550123,0.23289162473464434,0.8455875393582711,0.28054603584655824,1.3937266824400651,"hitter-level paired bootstrap on the NUMERATOR only; the ceiling is held fixed, so this understates total uncertainty by the width of the route disagreement","sensitivity, carries the fragility band",M.6 intersection,True
