batter,in_e5,in_f5,in_intersection,denom_L,denom_R,stand,stratum,pooled_denom,post_selection_descriptive
621035,True,True,True,97.0,148.0,R,high,245,True
621043,True,True,True,86.0,276.0,R,high,362,True
621311,False,True,False,,,,,62,True
621438,True,True,True,111.0,232.0,R,medium,343,True
621439,True,True,True,103.0,284.0,R,high,387,True
621458,False,True,False,,,,,10,True
621466,True,True,True,15.0,179.0,L,medium,194,True
621493,True,True,True,130.0,533.0,R,high,663,True
621512,True,True,True,48.0,89.0,R,medium,137,True
621545,True,True,True,22.0,16.0,R,low,38,True
621550,True,True,True,103.0,70.0,R,medium,173,True
621563,False,True,False,,,,,37,True
621566,True,True,True,187.0,493.0,L,high,680,True
622110,False,True,False,,,,,10,True
622268,False,True,False,,,,,25,True
622534,True,True,True,171.0,171.0,R,high,342,True
622569,True,True,True,22.0,42.0,R,medium,64,True
622761,True,True,True,90.0,116.0,R,medium,206,True
623168,False,True,False,,,,,16,True
623520,True,True,True,32.0,16.0,R,medium,48,True
623912,True,True,True,96.0,150.0,R,high,246,True
623993,True,True,True,178.0,484.0,L,high,662,True
624413,True,True,True,178.0,513.0,R,high,691,True
624415,True,True,True,32.0,188.0,L,medium,220,True
624424,True,True,True,106.0,381.0,L,high,487,True
624428,True,True,True,31.0,260.0,L,high,291,True
624431,True,True,True,103.0,130.0,R,medium,233,True
624503,True,True,True,28.0,247.0,L,medium,275,True
624512,True,True,True,20.0,137.0,L,medium,157,True
624585,True,True,True,155.0,416.0,R,high,571,True
624641,True,True,True,121.0,151.0,R,medium,272,True
628451,True,True,True,154.0,90.0,R,medium,244,True
630105,True,True,True,170.0,482.0,L,high,652,True
640492,True,True,True,43.0,35.0,R,medium,78,True
640902,True,True,True,11.0,29.0,R,low,40,True
641313,True,True,True,90.0,151.0,R,high,241,True
641343,True,True,True,35.0,310.0,L,medium,345,True
641355,True,True,True,167.0,395.0,L,high,562,True
641432,True,True,True,31.0,222.0,L,medium,253,True
641487,True,True,True,143.0,308.0,L,high,451,True
641511,False,True,False,,,,,18,True
641584,True,True,True,56.0,326.0,L,medium,382,True
641598,True,True,True,156.0,274.0,R,high,430,True
641645,True,True,True,19.0,167.0,L,medium,186,True
641658,True,True,True,124.0,105.0,R,high,229,True
641680,True,True,True,117.0,374.0,L,medium,491,True
641779,True,True,True,13.0,15.0,R,low,28,True
641856,False,True,False,,,,,28,True
641857,True,True,True,196.0,443.0,L,high,639,True
641933,True,True,True,152.0,316.0,R,medium,468,True
641943,True,True,True,12.0,66.0,L,low,78,True
642020,True,True,True,24.0,52.0,R,low,76,True
642086,True,True,True,50.0,257.0,L,high,307,True
642133,True,True,True,46.0,375.0,L,medium,421,True
642136,True,True,True,41.0,145.0,L,low,186,True
642180,True,True,True,20.0,131.0,L,medium,151,True
642197,True,True,True,33.0,14.0,R,low,47,True
642201,True,True,True,11.0,31.0,R,medium,42,True
642215,True,True,True,51.0,47.0,R,low,98,True
642350,True,True,True,111.0,333.0,R,medium,444,True
642708,True,True,True,126.0,220.0,R,high,346,True
642715,True,True,True,177.0,508.0,R,high,685,True
642731,True,True,True,96.0,285.0,R,medium,381,True
642851,True,True,True,10.0,10.0,R,medium,20,True
643217,True,True,True,126.0,395.0,L,high,521,True
643265,True,True,True,43.0,73.0,R,high,116,True
643289,True,True,True,125.0,300.0,R,medium,425,True
643376,True,True,True,94.0,230.0,R,medium,324,True
643393,False,True,False,,,,,10,True
643396,True,True,True,134.0,359.0,R,high,493,True
643446,True,True,True,116.0,354.0,L,high,470,True
643565,True,True,True,69.0,281.0,L,medium,350,True
644433,True,True,True,13.0,41.0,R,low,54,True
645277,True,True,True,109.0,326.0,L,high,435,True
645302,True,True,True,100.0,189.0,R,high,289,True
645305,True,True,True,29.0,61.0,R,low,90,True
645444,True,True,True,36.0,71.0,L,low,107,True
645801,True,True,True,18.0,44.0,L,low,62,True
646240,True,True,True,223.0,364.0,L,high,587,True
647304,True,True,True,173.0,452.0,L,medium,625,True
647351,True,True,True,79.0,282.0,L,medium,361,True
649557,False,True,False,,,,,34,True
649966,True,True,True,55.0,54.0,R,medium,109,True
650333,True,True,True,203.0,464.0,L,high,667,True
650391,True,True,True,94.0,254.0,R,medium,348,True
650402,True,True,True,169.0,494.0,R,high,663,True
650489,True,True,True,163.0,471.0,L,medium,634,True
650490,True,True,True,139.0,482.0,R,high,621,True
650559,True,True,True,188.0,432.0,R,medium,620,True
650859,True,True,True,58.0,245.0,L,high,303,True
650907,True,True,True,25.0,23.0,R,low,48,True
655316,True,True,True,70.0,72.0,R,low,142,True
656180,True,True,True,54.0,75.0,R,medium,129,True
656248,True,True,True,35.0,72.0,R,low,107,True
656305,True,True,True,162.0,482.0,R,high,644,True
656413,True,True,True,123.0,108.0,R,medium,231,True
656484,False,True,False,,,,,31,True
656537,True,True,True,66.0,104.0,R,low,170,True
656541,True,True,True,42.0,111.0,L,medium,153,True
656555,True,True,True,129.0,385.0,R,high,514,True
656577,True,True,True,57.0,97.0,R,low,154,True
656582,True,True,True,169.0,246.0,R,medium,415,True
656716,True,True,True,33.0,292.0,L,medium,325,True
656775,True,True,True,101.0,391.0,L,high,492,True
656811,True,True,True,44.0,448.0,L,medium,492,True
656883,False,True,False,,,,,15,True
656896,True,True,True,128.0,173.0,R,medium,301,True
656941,True,True,True,248.0,440.0,L,high,688,True
656976,True,True,True,23.0,135.0,L,medium,158,True
657041,True,True,True,144.0,383.0,R,high,527,True
657061,True,True,True,22.0,35.0,L,medium,57,True
657077,True,True,True,190.0,429.0,L,high,619,True
657088,False,True,False,,,,,35,True
657136,True,True,True,151.0,334.0,R,medium,485,True
657193,False,True,False,,,,,11,True
657557,True,True,True,123.0,359.0,R,high,482,True
657656,True,True,True,102.0,207.0,R,high,309,True
657757,True,True,True,92.0,407.0,L,low,499,True
658668,True,True,True,90.0,106.0,R,medium,196,True
660162,False,True,False,,,,,45,True
660271,True,True,True,249.0,469.0,L,high,718,True
660644,True,True,True,70.0,204.0,L,low,274,True
660670,True,True,True,52.0,170.0,R,high,222,True
660688,True,True,True,132.0,353.0,L,medium,485,True
660707,True,True,True,62.0,185.0,R,medium,247,True
660766,True,True,True,87.0,161.0,R,low,248,True
660821,True,True,True,114.0,420.0,L,medium,534,True
660844,True,True,True,32.0,52.0,L,low,84,True
661388,True,True,True,166.0,508.0,R,medium,674,True
661531,True,True,True,25.0,45.0,R,low,70,True
662139,True,True,True,104.0,407.0,L,medium,511,True
663330,True,True,True,25.0,21.0,R,low,46,True
663368,True,True,True,156.0,277.0,L,low,433,True
663457,True,True,True,109.0,293.0,L,medium,402,True
663527,True,True,True,127.0,151.0,R,medium,278,True
663538,True,True,True,137.0,503.0,R,medium,640,True
663550,False,True,False,,,,,91,True
663586,True,True,True,117.0,352.0,R,high,469,True
663604,False,True,False,,,,,12,True
663609,True,True,True,22.0,27.0,R,low,49,True
663611,True,True,True,31.0,62.0,R,medium,93,True
663616,True,True,True,23.0,376.0,L,medium,399,True
663624,True,True,True,143.0,364.0,R,high,507,True
663630,False,True,False,,,,,15,True
663647,True,True,True,94.0,301.0,R,high,395,True
663656,True,True,True,123.0,210.0,L,high,333,True
663662,True,True,True,86.0,100.0,R,low,186,True
663697,True,True,True,174.0,461.0,R,medium,635,True
663698,True,True,True,74.0,208.0,R,medium,282,True
663728,True,True,True,170.0,454.0,L,medium,624,True
663743,True,True,True,102.0,226.0,R,medium,328,True
663757,True,True,True,41.0,165.0,L,high,206,True
663837,True,True,True,151.0,415.0,R,medium,566,True
663853,True,True,True,130.0,86.0,R,low,216,True
663886,True,True,True,136.0,377.0,R,medium,513,True
663897,True,True,True,19.0,32.0,R,medium,51,True
663898,True,True,True,143.0,394.0,R,medium,537,True
663905,False,True,False,,,,,32,True
663967,False,True,False,,,,,31,True
663993,True,True,True,144.0,420.0,L,high,564,True
664023,True,True,True,161.0,495.0,L,high,656,True
664034,True,True,True,134.0,401.0,R,high,535,True
664040,True,True,True,72.0,351.0,L,high,423,True
664056,True,True,True,152.0,284.0,R,high,436,True
664059,False,True,False,,,,,16,True
