batter,in_e5,in_f5,in_intersection,denom_L,denom_R,stand,stratum,pooled_denom,post_selection_descriptive
687231,True,True,True,49.0,85.0,R,low,134,True
687263,True,True,True,115.0,482.0,R,low,597,True
687363,True,True,True,42.0,113.0,L,low,155,True
687401,True,True,True,152.0,356.0,R,low,508,True
687462,True,True,True,81.0,298.0,L,low,379,True
687529,True,True,True,26.0,104.0,L,low,130,True
687597,True,True,True,55.0,128.0,R,low,183,True
687952,True,True,True,38.0,85.0,R,low,123,True
688363,False,True,False,,,,,32,True
689172,True,True,True,59.0,211.0,L,low,270,True
690291,True,True,True,12.0,82.0,L,low,94,True
690993,True,True,True,88.0,466.0,L,low,554,True
691011,True,True,True,18.0,35.0,L,low,53,True
691016,True,True,True,22.0,190.0,L,low,212,True
691023,True,True,True,56.0,122.0,R,medium,178,True
691026,True,True,True,194.0,439.0,R,low,633,True
691176,True,True,True,23.0,44.0,L,low,67,True
691182,False,True,False,,,,,36,True
691406,True,True,True,27.0,148.0,R,low,175,True
691594,True,True,True,20.0,16.0,R,low,36,True
691718,True,True,True,91.0,309.0,L,low,400,True
691723,True,True,True,17.0,29.0,R,low,46,True
693049,False,True,False,,,,,38,True
693304,True,True,True,97.0,288.0,R,low,385,True
693307,True,True,True,25.0,62.0,R,low,87,True
694175,True,True,True,10.0,11.0,R,low,21,True
694192,True,True,True,173.0,395.0,R,low,568,True
694359,True,True,True,10.0,96.0,L,low,106,True
694362,True,True,True,18.0,11.0,R,low,29,True
694376,True,True,True,14.0,32.0,R,low,46,True
694377,False,True,False,,,,,42,True
694384,True,True,True,139.0,464.0,L,low,603,True
694388,True,True,True,50.0,211.0,L,low,261,True
694497,True,True,True,29.0,133.0,L,low,162,True
694671,True,True,True,112.0,442.0,R,low,554,True
695238,True,True,True,22.0,64.0,L,low,86,True
695257,True,True,True,10.0,39.0,R,low,49,True
695336,True,True,True,15.0,37.0,R,low,52,True
695391,True,True,True,34.0,89.0,R,low,123,True
695578,True,True,True,125.0,210.0,L,low,335,True
696100,True,True,True,92.0,132.0,R,low,224,True
696285,True,True,True,159.0,353.0,R,low,512,True
700242,True,True,True,29.0,90.0,L,low,119,True
700250,True,True,True,45.0,133.0,L,low,178,True
700932,True,True,True,20.0,136.0,L,low,156,True
701305,True,True,True,22.0,43.0,R,low,65,True
701538,True,True,True,156.0,432.0,L,low,588,True
702358,True,True,True,75.0,134.0,R,low,209,True
702616,True,True,True,46.0,162.0,L,low,208,True
805373,False,True,False,,,,,32,True
805779,True,True,True,22.0,80.0,R,low,102,True
807799,True,True,True,108.0,313.0,L,medium,421,True
808982,True,True,True,46.0,112.0,L,low,158,True
