exhibit_column,n_hitters,tau2_b_prime_mix,tau2_b_prime_pooled,mean_sampling_var,rank_ceiling_mc_spearman,rank_ceiling_mc_spearman_sd,rank_ceiling_mc_standard_error,rank_ceiling_analytic_pearson,rmse_noise_floor,reliability,denominator_note,build,build_note,post_selection_descriptive
pooled,545,0.0003929668596653433,0.0003929668596653433,0.004078477121970155,0.3093063192544132,0.041991688341098496,0.0024243912567460083,0.2964517824970523,0.06386295578792259,0.0878836593456796,"both denominators are held FIXED across bootstrap replicates, so every interval is the sampling error of the NUMERATOR alone and understates total uncertainty by the width of the route disagreement. The rank denominator is itself simulated, and its own Monte Carlo standard error is the column beside it -- also not in any reported interval.",pre_hyperparameter_tuning,"scored on the rebuild-baseline build that every pre-selection run used: lr 1e-3, warmup 0. Regenerate with `PYTHONPATH=. .venv/bin/python -m src.analysis.measurement_ceiling_report` if the selection stage ever promotes an arm.",True
low,207,0.0004110677593919811,0.0003929668596653433,0.006006360440011912,0.26316198738451885,0.0767261708123091,0.004429787537237586,0.25309070684961116,0.07750071251293056,0.06405490589363581,"both denominators are held FIXED across bootstrap replicates, so every interval is the sampling error of the NUMERATOR alone and understates total uncertainty by the width of the route disagreement. The rank denominator is itself simulated, and its own Monte Carlo standard error is the column beside it -- also not in any reported interval.",pre_hyperparameter_tuning,"scored on the rebuild-baseline build that every pre-selection run used: lr 1e-3, warmup 0. Regenerate with `PYTHONPATH=. .venv/bin/python -m src.analysis.measurement_ceiling_report` if the selection stage ever promotes an arm.",True
medium,167,0.00040032229469857646,0.0003929668596653433,0.003730417107601145,0.32087925490774494,0.08575812072113195,0.004951247408354195,0.3113085080273513,0.06107714063052678,0.09691298717021547,"both denominators are held FIXED across bootstrap replicates, so every interval is the sampling error of the NUMERATOR alone and understates total uncertainty by the width of the route disagreement. The rank denominator is itself simulated, and its own Monte Carlo standard error is the column beside it -- also not in any reported interval.",pre_hyperparameter_tuning,"scored on the rebuild-baseline build that every pre-selection run used: lr 1e-3, warmup 0. Regenerate with `PYTHONPATH=. .venv/bin/python -m src.analysis.measurement_ceiling_report` if the selection stage ever promotes an arm.",True
high,171,0.0003761487566931753,0.0003929668596653433,0.003189737234654563,0.31793940737105836,0.07583378158559599,0.004378265421211113,0.32478509350772594,0.056477758760901296,0.10548535696482228,"both denominators are held FIXED across bootstrap replicates, so every interval is the sampling error of the NUMERATOR alone and understates total uncertainty by the width of the route disagreement. The rank denominator is itself simulated, and its own Monte Carlo standard error is the column beside it -- also not in any reported interval.",pre_hyperparameter_tuning,"scored on the rebuild-baseline build that every pre-selection run used: lr 1e-3, warmup 0. Regenerate with `PYTHONPATH=. .venv/bin/python -m src.analysis.measurement_ceiling_report` if the selection stage ever promotes an arm.",True
