model,n_hitters,rank_corr_within_stand_pooled,rank_corr_ci_low,rank_corr_ci_high,rank_corr_L,rank_corr_R,pred_variance,paired_diff_vs_reference,paired_diff_ci_low,paired_diff_ci_high,paired_share_favouring_this_model,reference_model,n_boot,population,post_selection_descriptive
phase_d_model,545,0.14626474805407283,0.04340653140827627,0.23940357955184116,0.22570916212303577,0.039417885242445196,0.0005674880018011178,0.0,,,,phase_d_model,2000,M.6 intersection,True
c2_bivariate,545,0.14582642711091456,0.048406580524643396,0.23955927634057475,0.19227848129067493,0.08483804652844207,0.000694368899857309,-0.00043832094315826575,-0.0862330385172757,0.08706952949127879,0.49,phase_d_model,2000,M.6 intersection,True
c3_gbm_full,545,0.1412976147889645,0.04687922167550123,0.23289162473464434,0.22831685465564752,0.07904149938657483,0.00048533193680896247,-0.004967133265108337,-0.10662851070646791,0.09979072111465316,0.455,phase_d_model,2000,M.6 intersection,True
