config,n_seeds,reference_mean,reference_sd,margin_vs_incumbent,standard_error,margin_in_ses,promotable
lr1e3_warm,2,1.02576,0.00012727922061347033,8.499999999989072e-05,0.00010416333327999322,0.8160261132524335,False
lr1e3_warm2k,2,1.0258,0.00022627416997960748,4.4999999999850715e-05,0.00010416333327999322,0.43201382466217525,False
lr1e3,2,1.025845,7.07106781175479e-06,0.0,0.00010416333327999322,0.0,False
lr3e3_warm,2,1.0259999999999998,0.0004101219330882152,-0.00015499999999990521,0.00010416333327999322,-1.4880476182848525,False
lr3e3,2,1.02613,0.00014142135623729392,-0.00028500000000009074,0.00010416333327999322,-2.736087556203725,False
lr3e4,2,1.02692,0.0007212489168102932,-0.0010750000000001592,0.00010416333327999322,-10.320330255854397,False
lr3e4_warm,2,1.02694,0.000523259018078019,-0.0010950000000000681,0.00010416333327999322,-10.51233640014846,False
