stratum,n_batters,rank_difference,se_rank,z,batters_multiplier,batters_needed
low,246,0.03670926684884547,0.05999678044123744,0.6118539458096351,20.965834070667974,5158
medium,236,0.14394461257750768,0.06494698320084843,2.2163402437394084,1.5978455957257711,377
high,321,0.00928834351169272,0.029305395379105047,0.31694994698196,78.13152617953077,25080
all,618,0.04976590706982581,0.0200208658379456,2.485702040693183,1.2703094733900289,785
