stratum,n_hitters,pa,mean_pred,mean_obs,intercept,slope,slope_se,slope_z_vs_one
low,384,32561.0,0.28729179645330927,0.2943218881483984,0.12489918176593615,0.5897234396318618,0.15059721056702535,-2.724330409729196
medium,280,37596.0,0.3077946726531881,0.3071550696882647,0.004302198516374747,0.983944486632274,0.12401965897684329,-0.12945942199957097
high,493,110811.0,0.33044767765529964,0.3211084278636598,0.013209441755336903,0.9317632016451998,0.07696281426324943,-0.8866203634575774
all,1157,180968.0,0.3179766273929472,0.3133900081782414,0.05713809843732236,0.8058828469309142,0.051454116871968304,-3.7726262711320375
