balls,strikes,take_mass_drawn,take_mass_exact,take_mass_gap
0,0,0.6617387585043207,0.6730720472246152,-0.011333288720294439
0,1,0.5428763165921028,0.5481211570196398,-0.0052448404275369995
0,2,0.5699591791478879,0.5732906901498074,-0.003331511001919633
1,0,0.5465901003101346,0.5461282822284796,0.0004618180816549468
1,1,0.47342148337020984,0.47254867227224195,0.0008728110979679232
1,2,0.49386675263264124,0.4937761392418558,9.061339078538086e-05
2,0,0.526711413886102,0.5176226379238051,0.009088775962296815
2,1,0.41766247733288925,0.4175672284436952,9.524888919404005e-05
2,2,0.40986215843500895,0.4088607206966587,0.0010014377383502655
3,0,0.8754793953676541,0.875828853427697,-0.0003494580600429281
3,1,0.41080565181196627,0.41598053241763466,-0.005174880605668465
3,2,0.3202948862601327,0.31838973184628394,0.0019051544138487288
