grouping,balls,strikes,n_pitches,observed,predicted,gap,relative_gap,stand,p_throws,in_zone,all
count,0,0,180379,0.31457653052738954,0.31668829092347023,0.0021117603960806863,0.006713025897196802,,,,
count,0,1,91609,0.4893623988909387,0.4963055303286733,0.006943131437734618,0.014188117954035925,,,,
count,0,2,47794,0.49985353810101685,0.5152820664258446,0.015428528324827773,0.03086609806432895,,,,
count,1,0,68451,0.42593972330572233,0.43868310221713813,0.012743378911415804,0.029918268276352147,,,,
count,1,1,70954,0.544676832877639,0.5521681507737031,0.007491317896064054,0.013753692912705485,,,,
count,1,2,69530,0.5708758809147131,0.5831312117452159,0.012255330830502786,0.021467592589243915,,,,
count,2,0,23065,0.4078907435508346,0.4360188356642264,0.02812809211339179,0.06895986868573359,,,,
count,2,1,36464,0.5824648968845985,0.5902071250604913,0.0077422281758928735,0.01329217986749648,,,,
count,2,2,59349,0.6421506680820233,0.6528842467486266,0.010733578666603294,0.016715047106720865,,,,
count,3,0,7100,0.08295774647887325,0.09515505016849964,0.01219730368962639,0.14703031612283085,,,,
count,3,1,14857,0.5396109577976711,0.5583584666822213,0.018747508884550235,0.03474263932864698,,,,
count,3,2,35755,0.7059432247238149,0.7218366770458605,0.015893452322045643,0.022513782646279543,,,,
handedness,,,58198,0.4670607237362109,0.47084866248742513,0.003787938751214248,0.008110163322903643,L,L,,
handedness,,,256020,0.47013905163659087,0.4779488175082651,0.007809765871674257,0.016611608511328403,L,R,,
handedness,,,133645,0.4813199146993902,0.4914594270608838,0.01013951236149363,0.021066056175602654,R,L,,
handedness,,,257444,0.4804578859868554,0.4918655169307562,0.011407630943900793,0.023743248423261157,R,R,,
zone,,,348873,0.2804258283100154,0.2948731854354047,0.014447357125389304,0.051519352594788494,,,0.0,
zone,,,356434,0.6669706032533372,0.6710990959498159,0.004128492696478636,0.006189917031336536,,,1.0,
count_x_zone,0,0,81320,0.15684948352188882,0.16072054305559774,0.0038710595337089204,0.02468009104517518,,,0.0,
count_x_zone,0,0,99059,0.4440585913445522,0.4447260992661285,0.0006675079215762714,0.0015031978540380074,,,1.0,
count_x_zone,0,1,49513,0.2791186153131501,0.29024939006787503,0.01113077475472496,0.03987829597906635,,,0.0,
count_x_zone,0,1,42096,0.7366495629038389,0.7386672196277255,0.0020176567238866516,0.002738964122822718,,,1.0,
count_x_zone,0,2,32312,0.32412106957167613,0.34732014204530165,0.023199072473625515,0.07157532987375037,,,0.0,
count_x_zone,0,2,15482,0.8666192998320631,0.8658301674841125,-0.0007891323479506385,-0.0009105870918217026,,,1.0,
count_x_zone,1,0,29971,0.21694304494344532,0.22919340063863866,0.012250355695193338,0.056468072983795685,,,0.0,
count_x_zone,1,0,38480,0.5887214137214137,0.601848794680995,0.013127380959581214,0.022298120390424874,,,1.0,
count_x_zone,1,1,34722,0.30902597776625773,0.3254790813554556,0.01645310358919788,0.053241813869909484,,,0.0,
count_x_zone,1,1,36232,0.77050673437845,0.7694097567667585,-0.0010969776116914742,-0.0014237093106997706,,,1.0,
count_x_zone,1,2,42813,0.37584378576600563,0.39728376451509495,0.021439978749089317,0.057044920153176366,,,0.0,
count_x_zone,1,2,26717,0.8834075682149942,0.8809448419530672,-0.0024627262619270063,-0.002787757712901611,,,1.0,
count_x_zone,2,0,9208,0.19157254561251086,0.2131479363880721,0.021575390775561254,0.11262256137265761,,,0.0,
count_x_zone,2,0,13857,0.5516345529335354,0.584116926198601,0.032482373265065645,0.058883862681058954,,,1.0,
count_x_zone,2,1,15367,0.31561137502440295,0.33398947904690424,0.018378104022501285,0.05823017000284067,,,0.0,
count_x_zone,2,1,21097,0.77684030904868,0.7768353928848643,-4.916163815704699e-06,-6.328409788267865e-06,,,1.0,
count_x_zone,2,2,31125,0.42043373493975905,0.43858519895271963,0.018151464012960583,0.04317318641322009,,,0.0,
count_x_zone,2,2,28224,0.886656746031746,0.8892099930159029,0.0025532469841568206,0.0028796340811525316,,,1.0,
count_x_zone,3,0,2631,0.029266438616495628,0.037868928014302965,0.008602489397807337,0.29393700786533905,,,0.0,
count_x_zone,3,0,4469,0.11456701722980532,0.12888066829060557,0.01431365106080025,0.12493692693499281,,,1.0,
count_x_zone,3,1,5536,0.25523843930635837,0.2704601945573597,0.015221755251001334,0.05963739353824727,,,0.0,
count_x_zone,3,1,9321,0.708507670850767,0.7293492224469714,0.020841551596204377,0.02941612695763492,,,1.0,
count_x_zone,3,2,14355,0.4369209334726576,0.4658637597020553,0.0289428262293977,0.06624270894818303,,,0.0,
count_x_zone,3,2,21400,0.8864018691588785,0.8935418746379318,0.007140005479053246,0.008055043347131608,,,1.0,
overall,,,705307,0.4757701256332349,0.48500274063377025,0.009232615000535349,0.019405621545167496,,,,all
trained_hitters,,,647120,0.47576492767956485,0.48427061230588675,0.008505684626321897,0.017877914346915897,,,,trained
