stratum,model,n_hitters,weight,mean_obs,mean_pred,sd_obs,sd_pred,rmse,rank_corr_weighted
low,delta_pred,204,17320.49099252268,-0.009708995076110241,-0.007442775383760741,0.07826314032972355,0.02531933893912581,0.0723486259845671,0.3966944527373541
medium,delta_pred,163,22291.08539352713,-0.008861692233531181,-0.00933569658632688,0.06476641568213147,0.027381162678326465,0.05377492616526235,0.547195218180451
high,delta_pred,172,28331.08081409512,-0.006032211335815551,-0.00020944576180318157,0.057578128669037096,0.024114980634832472,0.05383364350147106,0.38457902476363265
all,delta_pred,539,67942.65720014492,-0.007897841930629711,-0.005047626524250125,0.06557780804681063,0.025804099165628716,0.05908948358814212,0.43831244560420884
low,delta_route_a,204,17320.49099252268,-0.009708995076110241,-0.005549749466587934,0.07826314032972355,0.020637097055801475,0.0739635149291963,0.37738917392150134
medium,delta_route_a,163,22291.08539352713,-0.008861692233531181,-0.0045426612940884506,0.06476641568213147,0.020607931741714124,0.05739792328495072,0.5218112606344908
high,delta_route_a,172,28331.08081409512,-0.006032211335815551,-0.0009246503497745073,0.057578128669037096,0.020066310882211107,0.055062095660920414,0.3123190463225632
all,delta_route_a,539,67942.65720014492,-0.007897841930629711,-0.003290739418577759,0.06557780804681063,0.020441380706591353,0.06115332205424237,0.3998682917387012
