stratum,n_hitters,n_boot,rmse_difference,rmse_ci_low,rmse_ci_high,rmse_favours_model,rank_difference,rank_ci_low,rank_ci_high,rank_favours_model,rank_se
low,204,2000,-0.001614888944629203,-0.0032000507132620122,5.6606030503522986e-05,False,0.019305278815852756,-0.07119140484710357,0.09969982170816387,False,0.04458056394372475
medium,163,2000,-0.003622997119688366,-0.005665369723842712,-0.0016379310566149833,True,0.025383957545960234,-0.06248731276530328,0.11275610809940587,False,0.04398007874357395
high,172,2000,-0.0012284521594493544,-0.0028366851408238355,0.00023048303934530617,False,0.07225997844106946,-0.027725227217901983,0.1675108853411569,False,0.04900943044971206
all,539,2000,-0.002063838466100254,-0.0031053624008219962,-0.001101296105237267,True,0.038444153865507646,-0.01262160393245892,0.0870914599384559,False,0.025641342339539238
