p_throws,stand,balls,strikes,n_pitchers,n_exact_pitches,n_league_pitches,sampled_ball,sampled_called_strike,sampled_hbp,sampled_in_zone,exact_ball,exact_called_strike,exact_hbp,exact_in_zone,league_ball,league_called_strike,league_hbp,league_in_zone,backoff_exact,backoff_strikes,backoff_stand,backoff_empty,draw_gap_ball,pool_gap_ball,draw_gap_called_strike,pool_gap_called_strike,draw_gap_hbp,pool_gap_hbp,draw_gap_in_zone,pool_gap_in_zone
L,L,0,0,575,126941,690435,0.46761669125362315,0.5284207211214607,0.003962587624916144,0.5329702130443161,0.468095782574978,0.5274144366724339,0.004489780752589178,0.5384198213033738,0.4858585922037293,0.5117563800236734,0.0023850277725973525,0.5100538066581213,5455,1153,292,4,-0.0004790913213548742,-0.017762809628751264,0.0010062844490267286,0.01565805664876052,-0.0005271931276730341,0.0021047529799918256,-0.005449608259057714,0.02836601464525257
L,L,0,1,575,64831,338833,0.5837476895949204,0.41226083961403237,0.003991470791047122,0.4280763014772959,0.5498360323708436,0.44570900632247656,0.004454961306680311,0.45355527498222986,0.5687471131131729,0.42777568882927425,0.003477198057552737,0.4298489226256002,5455,1153,292,4,0.03391165722407685,-0.01891108074232939,-0.033448166708444194,0.017933317493202316,-0.0004634905156331885,0.000977763249127574,-0.025478973504933944,0.023706352356629656
L,L,0,2,575,33556,172256,0.6782657250416221,0.32063306959208693,0.0011012053662909737,0.32895733212174727,0.6771511299161248,0.3201039724989044,0.0027448975849697402,0.32574662138755905,0.6801871560139159,0.3158273084465946,0.003985535539489505,0.3226592977893368,5455,1153,292,4,0.0011145951254972752,-0.003036026097791078,0.0005290970931825512,0.004276664052309753,-0.0016436922186787665,-0.001240637954519765,0.0032107107341882157,0.00308732359822228
L,L,1,0,575,49026,280589,0.4383685858149595,0.5584062272699137,0.0032251869151266378,0.5758933491465216,0.45126860655191336,0.5452791301057434,0.003452263342342661,0.5565931487381077,0.4691928064993328,0.5289104708941028,0.001896722606564398,0.5279572613324115,5455,1153,292,4,-0.012900020736953843,-0.01792419994741945,0.013127097164170376,0.016368659211640546,-0.00022707642721602308,0.0015555407357782628,0.019300200408413848,0.028635887405696225
L,L,1,1,575,50863,280377,0.5268284775935406,0.4702595495205232,0.0029119728859360607,0.47463846174083,0.4996397315758318,0.4963240403238437,0.004036228100323663,0.5059322937475853,0.520676316187366,0.4765387185644514,0.0027849652481826,0.47955788099594476,5455,1153,292,4,0.027188746017708765,-0.02103658461153418,-0.026064490803320517,0.019785321759392294,-0.001124255214387602,0.001251262852141063,-0.031293832006755284,0.02637441275164054
L,L,1,2,575,48935,259292,0.6029039300269519,0.39374737011357197,0.0033486998594763344,0.40044197292275924,0.6148516131024491,0.38170552988056783,0.0034428570169825977,0.38954850579831657,0.6286454322776913,0.36762877278339307,0.0037257949389156125,0.3733512796383999,5455,1153,292,4,-0.011947683075497206,-0.01379381917524225,0.012041840233004142,0.014076757097174764,-9.415715750626334e-05,-0.00028293792193301477,0.010893467124442668,0.016197226159916644
L,L,2,0,575,16536,98907,0.4227974986735358,0.575148493346864,0.0020540079796001693,0.5897629514917652,0.41139042833228945,0.5854887739975501,0.003120797670160836,0.5965055053397414,0.43236107798995915,0.5661194352569553,0.001519486753085549,0.5645202058499399,5455,1153,292,4,0.011407070341246328,-0.020970649657669704,-0.01034028065068604,0.019369338740594766,-0.0010667896905606667,0.001601310917075287,-0.006742553847976285,0.031985299489801555
L,L,2,1,575,26100,150577,0.453204799877047,0.5431943333865916,0.0036008667363613446,0.5530008439862601,0.43987668492754967,0.5569816883055363,0.0031416267669124817,0.5704021850980665,0.4561835611044916,0.5420052774569687,0.0018111614385396204,0.5445453156856624,5455,1153,292,4,0.013328114949497316,-0.01630687617694193,-0.013787354918944672,0.0149764108485676,0.00045923996944886294,0.0013304653283728613,-0.017401341111806357,0.02585686941240406
L,L,2,2,575,41013,228139,0.5220147436486358,0.4755846556153499,0.002400600736014138,0.4855054069869549,0.526974637715551,0.46965924404890247,0.003366118235547958,0.480557775153884,0.5434087912587549,0.4535722694646242,0.003018939276620962,0.45954878385545656,5455,1153,292,4,-0.004959894066915216,-0.016434153543203878,0.005925411566447436,0.01608697458427827,-0.0009655174995338201,0.00034717895892699604,0.004947631833070898,0.021008991298427426
L,L,3,0,575,5032,31581,0.37852981350415515,0.6188035581913164,0.0026666283045283273,0.6333462739819726,0.37582374038088096,0.621474970006646,0.002701289612473121,0.6323160215170267,0.38916548028778597,0.6097138277992094,0.0011206919130045561,0.6072005319654222,5455,1153,292,4,0.0027060731232741997,-0.013341739906905015,-0.002671411815329594,0.011761142207436626,-3.4661307944793864e-05,0.001580597699468565,0.0010302524649459244,0.025115489551604475
L,L,3,1,575,10679,64906,0.39361495509410743,0.6005148056569372,0.005870239248955324,0.6091387287305863,0.38532976164567734,0.6111019777643656,0.003568260589957045,0.6214734281868732,0.3988577289748967,0.5998407487673812,0.001301522257722084,0.6013773765137276,5455,1153,292,4,0.008285193448430095,-0.013527967329219348,-0.010587172107428433,0.01126122899698434,0.0023019786589982792,0.0022667383322349612,-0.012334699456286957,0.020096051673145654
L,L,3,2,575,24505,142387,0.44269524114598824,0.5530841462906813,0.004220612563330558,0.566647895615893,0.42586183122451926,0.5707969313366168,0.0033412374388637686,0.5893760902024492,0.4357961068207039,0.5625045132131171,0.0016993799661789892,0.5711827624712931,5455,1153,292,4,0.016833409921468978,-0.00993427559618465,-0.017712785045935542,0.008292418123499679,0.0008793751244667893,0.0016418574726847794,-0.022728194586556172,0.018193327731156117
