batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
681146,0.049669801462904895,0.015580861056328332,66.0,58.0,204.0,R,61.74193548387097,medium,0.014857842364673413
681297,-0.009577430385930619,-0.04622052093812462,92.0,267.0,155.0,L,136.84679665738162,medium,-0.026253501145267144
681351,0.06165709459459462,0.011890429276492975,80.0,370.0,162.0,R,131.55555555555554,medium,0.014857842364673413
681393,-0.043203851317335173,0.013035347344405535,101.0,236.0,63.0,R,141.45994065281897,low,0.014857842364673413
681460,-0.06666119321291739,-0.015399929279009572,63.0,261.0,30.0,L,101.5,low,-0.026253501145267144
681481,-0.0738439086801807,-0.04048826291103169,63.0,397.0,133.0,L,108.74347826086958,medium,-0.026253501145267144
681508,-0.008140030441400326,-0.009357349875968368,36.0,73.0,3.0,L,48.22018348623853,low,-0.026253501145267144
681546,-0.0941823899371069,-0.03794866750580966,42.0,106.0,173.0,L,60.16216216216217,medium,-0.026253501145267144
681624,0.006609118541033465,0.014311090979522711,154.0,470.0,106.0,R,231.98717948717947,low,0.014857842364673413
681715,-0.00018719165085390177,0.016065098643249787,124.0,170.0,0.0,R,143.40136054421768,low,0.014857842364673413
681807,0.0015840090090089576,0.010204946497385903,120.0,37.0,212.0,R,56.560509554140125,medium,0.014857842364673413
681962,0.03332175925925926,0.016721203334575607,54.0,48.0,16.0,R,50.82352941176471,low,0.014857842364673413
681987,-0.04428010204081634,0.014985282651142295,49.0,40.0,51.0,R,44.04494382022472,low,0.014857842364673413
682177,-0.08320697422959095,-0.03369801209591439,62.0,358.0,36.0,L,105.6952380952381,low,-0.026253501145267144
682622,-0.09375811298076919,0.01598365977590288,104.0,256.0,80.0,R,147.9111111111111,low,0.014857842364673413
682626,0.07760670687921872,0.015434006366648989,66.0,211.0,234.0,R,100.54873646209386,medium,0.014857842364673413
682641,-0.04741789273849073,0.011897943697865287,86.0,98.0,148.0,R,91.60869565217392,medium,0.014857842364673413
682653,-0.022656940760389044,0.016065098643249787,29.0,117.0,0.0,R,46.47945205479452,low,0.014857842364673413
682657,0.10808341352630974,-0.009549038872938787,166.0,313.0,44.0,L,216.94363256784968,low,-0.026253501145267144
682663,-0.029216005006112156,0.016065098643249787,164.0,419.0,0.0,R,235.73241852487138,low,0.014857842364673413
682668,0.0165041514041514,0.015108999576772475,65.0,126.0,16.0,R,85.75916230366492,low,0.014857842364673413
682729,-0.04858064516129032,-0.009284733374753107,31.0,80.0,28.0,L,44.68468468468469,low,-0.026253501145267144
682829,-0.09279989604989608,-0.029712334057158618,208.0,481.0,336.0,L,290.4150943396226,medium,-0.026253501145267144
682848,0.10522777777777778,-0.009285667480738502,12.0,45.0,58.0,L,18.94736842105263,low,-0.026253501145267144
682927,-0.0822214137214137,-0.008095857533900797,13.0,74.0,0.0,L,22.114942528735632,low,-0.026253501145267144
682928,-0.07385452655889146,-0.04124299961748129,200.0,433.0,447.0,L,273.6176935229068,medium,-0.026253501145267144
682985,-0.09700962555066073,-0.050651231577855116,200.0,454.0,363.0,L,277.67584097859327,medium,-0.026253501145267144
682988,-0.009526171741361611,0.016588843122788688,37.0,79.0,17.0,R,50.39655172413793,low,0.014857842364673413
682998,-0.03959267123287674,-0.042333180958859906,200.0,438.0,404.0,L,274.6081504702194,medium,-0.026253501145267144
683002,-0.10396469622331694,-0.049972529372436014,210.0,435.0,410.0,L,283.25581395348837,medium,-0.026253501145267144
